opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Tristana,13,7,85,70,96,53.85,2.59,6.54,5.38,7.38,2025-05-09 16:08:30
Sylas,4,2,16,18,12,50.0,1.56,4.0,4.5,3.0,2025-05-09 16:08:30
Zeri,2,2,28,14,18,100.0,3.29,14.0,7.0,9.0,2025-05-09 16:08:30
Akshan,1,0,5,3,2,0.0,2.33,5.0,3.0,2.0,2025-05-09 16:08:30
Miss Fortune,2,0,6,16,10,0.0,1.0,3.0,8.0,5.0,2025-05-09 16:08:30
Mel,6,2,39,33,45,33.33,2.55,6.5,5.5,7.5,2025-05-09 16:08:30
Xayah,2,0,10,14,13,0.0,1.64,5.0,7.0,6.5,2025-05-09 16:08:30
Orianna,1,0,6,8,1,0.0,0.88,6.0,8.0,1.0,2025-05-09 16:08:30
Ezreal,7,3,39,39,38,42.86,1.97,5.57,5.57,5.43,2025-05-09 16:08:30
Kaisa,9,3,67,64,51,33.33,1.84,7.44,7.11,5.67,2025-05-09 16:08:30
Aurelion Sol,2,2,26,12,8,100.0,2.83,13.0,6.0,4.0,2025-05-09 16:08:30
Varus,9,2,61,59,56,22.22,1.98,6.78,6.56,6.22,2025-05-09 16:08:30
Corki,4,2,24,17,21,50.0,2.65,6.0,4.25,5.25,2025-05-09 16:08:30
Jhin,8,2,22,59,54,25.0,1.29,2.75,7.38,6.75,2025-05-09 16:08:30
Lucian,8,6,27,32,54,75.0,2.53,3.38,4.0,6.75,2025-05-09 16:08:30
Galio,2,2,6,4,3,100.0,2.25,3.0,2.0,1.5,2025-05-09 16:08:30
Urgot,2,2,2,4,0,100.0,0.5,1.0,2.0,0.0,2025-05-09 16:08:30
Yone,6,5,39,19,19,83.33,3.05,6.5,3.17,3.17,2025-05-09 16:08:30
Caitlyn,1,0,0,4,2,0.0,0.5,0.0,4.0,2.0,2025-05-09 16:08:30
Jinx,6,3,33,26,36,50.0,2.65,5.5,4.33,6.0,2025-05-09 16:08:30
Azir,1,0,3,8,2,0.0,0.62,3.0,8.0,2.0,2025-05-09 16:08:30
Draven,2,2,20,12,20,100.0,3.33,10.0,6.0,10.0,2025-05-09 16:08:30
Hwei,1,1,3,2,3,100.0,3.0,3.0,2.0,3.0,2025-05-09 16:08:30
Ziggs,2,0,8,15,4,0.0,0.8,4.0,7.5,2.0,2025-05-09 16:08:30
VelKoz,1,0,2,7,5,0.0,1.0,2.0,7.0,5.0,2025-05-09 16:08:30
Aphelios,4,3,31,18,26,75.0,3.17,7.75,4.5,6.5,2025-05-09 16:08:30
Sivir,4,0,13,29,20,0.0,1.14,3.25,7.25,5.0,2025-05-09 16:08:30
Nilah,3,1,25,19,17,33.33,2.21,8.33,6.33,5.67,2025-05-09 16:08:30
Ashe,3,2,16,18,23,66.67,2.17,5.33,6.0,7.67,2025-05-09 16:08:30
KSante,1,1,17,1,2,100.0,19.0,17.0,1.0,2.0,2025-05-09 16:08:30
Nidalee,2,2,10,10,6,100.0,1.6,5.0,5.0,3.0,2025-05-09 16:08:30
Singed,2,2,12,8,20,100.0,4.0,6.0,4.0,10.0,2025-05-09 16:08:30
Karthus,1,0,3,10,8,0.0,1.1,3.0,10.0,8.0,2025-05-09 16:08:30
Twitch,1,1,6,3,8,100.0,4.67,6.0,3.0,8.0,2025-05-09 16:08:30
Syndra,2,2,17,24,29,100.0,1.92,8.5,12.0,14.5,2025-05-09 16:08:30
Yasuo,1,1,15,7,9,100.0,3.43,15.0,7.0,9.0,2025-05-09 16:08:30
Ryze,1,0,4,2,1,0.0,2.5,4.0,2.0,1.0,2025-05-09 16:08:30
Seraphine,3,2,12,15,15,66.67,1.8,4.0,5.0,5.0,2025-05-09 16:08:30
Swain,2,2,11,4,9,100.0,5.0,5.5,2.0,4.5,2025-05-09 16:08:30
Veigar,2,1,14,9,22,50.0,4.0,7.0,4.5,11.0,2025-05-09 16:08:30
Qiyana,1,0,1,8,1,0.0,0.25,1.0,8.0,1.0,2025-05-09 16:08:30
Annie,1,1,15,3,7,100.0,7.33,15.0,3.0,7.0,2025-05-09 16:08:30
