opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Smolder,13,6,80,79,54,46.15,1.7,6.15,6.08,4.15,2025-05-09 16:08:30
Lucian,19,9,109,96,84,47.37,2.01,5.74,5.05,4.42,2025-05-09 16:08:30
Ezreal,22,6,103,89,66,27.27,1.9,4.68,4.05,3.0,2025-05-09 16:08:30
Corki,17,4,76,89,51,23.53,1.43,4.47,5.24,3.0,2025-05-09 16:08:30
Miss Fortune,8,4,41,34,44,50.0,2.5,5.12,4.25,5.5,2025-05-09 16:08:30
Zeri,6,5,56,5,18,83.33,14.8,9.33,0.83,3.0,2025-05-09 16:08:30
Jinx,6,2,40,31,24,33.33,2.06,6.67,5.17,4.0,2025-05-09 16:08:30
Kaisa,30,13,210,138,146,43.33,2.58,7.0,4.6,4.87,2025-05-09 16:08:30
Xayah,10,7,90,40,64,70.0,3.85,9.0,4.0,6.4,2025-05-09 16:08:30
Sivir,10,5,76,85,76,50.0,1.79,7.6,8.5,7.6,2025-05-09 16:08:30
Orianna,3,2,14,23,32,66.67,2.0,4.67,7.67,10.67,2025-05-09 16:08:30
Jhin,21,8,120,114,92,38.1,1.86,5.71,5.43,4.38,2025-05-09 16:08:30
Nilah,4,2,9,12,16,50.0,2.08,2.25,3.0,4.0,2025-05-09 16:08:30
Ashe,14,6,81,77,81,42.86,2.1,5.79,5.5,5.79,2025-05-09 16:08:30
Varus,18,8,110,114,89,44.44,1.75,6.11,6.33,4.94,2025-05-09 16:08:30
Aurelion Sol,3,1,18,11,9,33.33,2.45,6.0,3.67,3.0,2025-05-09 16:08:30
Viktor,5,2,37,21,14,40.0,2.43,7.4,4.2,2.8,2025-05-09 16:08:30
Seraphine,2,1,24,11,7,50.0,2.82,12.0,5.5,3.5,2025-05-09 16:08:30
Cassiopeia,1,0,4,4,4,0.0,2.0,4.0,4.0,4.0,2025-05-09 16:08:30
Sylas,3,2,34,20,19,66.67,2.65,11.33,6.67,6.33,2025-05-09 16:08:30
Neeko,1,0,4,6,5,0.0,1.5,4.0,6.0,5.0,2025-05-09 16:08:30
Caitlyn,9,5,47,36,39,55.56,2.39,5.22,4.0,4.33,2025-05-09 16:08:30
Draven,3,0,22,21,17,0.0,1.86,7.33,7.0,5.67,2025-05-09 16:08:30
Mel,10,5,36,27,29,50.0,2.41,3.6,2.7,2.9,2025-05-09 16:08:30
Zed,2,2,6,4,20,100.0,6.5,3.0,2.0,10.0,2025-05-09 16:08:30
Zyra,3,0,19,12,15,0.0,2.83,6.33,4.0,5.0,2025-05-09 16:08:30
Yone,4,1,15,25,9,25.0,0.96,3.75,6.25,2.25,2025-05-09 16:08:30
Ahri,4,4,52,22,22,100.0,3.36,13.0,5.5,5.5,2025-05-09 16:08:30
Akshan,1,0,2,5,0,0.0,0.4,2.0,5.0,0.0,2025-05-09 16:08:30
Ornn,2,0,2,16,8,0.0,0.62,1.0,8.0,4.0,2025-05-09 16:08:30
Hwei,7,4,57,37,27,57.14,2.27,8.14,5.29,3.86,2025-05-09 16:08:30
Azir,4,3,30,28,25,75.0,1.96,7.5,7.0,6.25,2025-05-09 16:08:30
Jax,1,1,3,5,10,100.0,2.6,3.0,5.0,10.0,2025-05-09 16:08:30
Lux,3,2,29,22,20,66.67,2.23,9.67,7.33,6.67,2025-05-09 16:08:30
Katarina,1,1,6,4,11,100.0,4.25,6.0,4.0,11.0,2025-05-09 16:08:30
Annie,1,1,9,9,2,100.0,1.22,9.0,9.0,2.0,2025-05-09 16:08:30
Yasuo,2,1,14,8,13,50.0,3.38,7.0,4.0,6.5,2025-05-09 16:08:30
Aphelios,2,1,15,16,14,50.0,1.81,7.5,8.0,7.0,2025-05-09 16:08:30
Fizz,1,0,17,7,2,0.0,2.71,17.0,7.0,2.0,2025-05-09 16:08:30
Veigar,3,2,23,9,10,66.67,3.67,7.67,3.0,3.33,2025-05-09 16:08:30
Jayce,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Twisted Fate,1,1,2,0,0,100.0,2.0,2.0,0.0,0.0,2025-05-09 16:08:30
Syndra,3,1,6,13,13,33.33,1.46,2.0,4.33,4.33,2025-05-09 16:08:30
Vladimir,2,2,12,12,4,100.0,1.33,6.0,6.0,2.0,2025-05-09 16:08:30
Kalista,2,2,40,12,18,100.0,4.83,20.0,6.0,9.0,2025-05-09 16:08:30
Taliyah,1,1,6,2,2,100.0,4.0,6.0,2.0,2.0,2025-05-09 16:08:30
Rumble,1,0,2,5,3,0.0,1.0,2.0,5.0,3.0,2025-05-09 16:08:30
Galio,1,1,16,1,5,100.0,21.0,16.0,1.0,5.0,2025-05-09 16:08:30
Ryze,1,0,6,8,3,0.0,1.12,6.0,8.0,3.0,2025-05-09 16:08:30
Karthus,2,1,9,10,12,50.0,2.1,4.5,5.0,6.0,2025-05-09 16:08:30
