opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ahri,3,0,10,22,15,0.0,1.14,3.33,7.33,5.0,2025-05-09 16:08:30
Taliyah,2,2,14,8,14,100.0,3.5,7.0,4.0,7.0,2025-05-09 16:08:30
Annie,6,1,19,41,35,16.67,1.32,3.17,6.83,5.83,2025-05-09 16:08:30
Corki,6,3,52,37,63,50.0,3.11,8.67,6.17,10.5,2025-05-09 16:08:30
Zed,2,0,8,15,9,0.0,1.13,4.0,7.5,4.5,2025-05-09 16:08:30
Sylas,7,1,25,28,36,14.29,2.18,3.57,4.0,5.14,2025-05-09 16:08:30
Hwei,2,1,6,7,10,50.0,2.29,3.0,3.5,5.0,2025-05-09 16:08:30
Katarina,3,0,28,29,36,0.0,2.21,9.33,9.67,12.0,2025-05-09 16:08:30
Jhin,1,1,6,1,12,100.0,18.0,6.0,1.0,12.0,2025-05-09 16:08:30
Vayne,1,0,4,9,2,0.0,0.67,4.0,9.0,2.0,2025-05-09 16:08:30
Lux,5,3,22,12,36,60.0,4.83,4.4,2.4,7.2,2025-05-09 16:08:30
Jayce,1,0,2,9,8,0.0,1.11,2.0,9.0,8.0,2025-05-09 16:08:30
Ambessa,1,1,5,6,14,100.0,3.17,5.0,6.0,14.0,2025-05-09 16:08:30
Naafiri,1,0,1,8,5,0.0,0.75,1.0,8.0,5.0,2025-05-09 16:08:30
Viktor,2,1,14,6,15,50.0,4.83,7.0,3.0,7.5,2025-05-09 16:08:30
Orianna,1,1,8,11,14,100.0,2.0,8.0,11.0,14.0,2025-05-09 16:08:30
Mel,1,0,3,12,7,0.0,0.83,3.0,12.0,7.0,2025-05-09 16:08:30
Galio,3,2,10,14,22,66.67,2.29,3.33,4.67,7.33,2025-05-09 16:08:30
Tristana,1,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Ryze,3,0,8,11,12,0.0,1.82,2.67,3.67,4.0,2025-05-09 16:08:30
Kassadin,3,2,17,16,38,66.67,3.44,5.67,5.33,12.67,2025-05-09 16:08:30
VelKoz,1,0,7,7,8,0.0,2.14,7.0,7.0,8.0,2025-05-09 16:08:30
Qiyana,1,0,1,7,3,0.0,0.57,1.0,7.0,3.0,2025-05-09 16:08:30
Vladimir,2,0,10,22,26,0.0,1.64,5.0,11.0,13.0,2025-05-09 16:08:30
Ekko,1,1,3,5,10,100.0,2.6,3.0,5.0,10.0,2025-05-09 16:08:30
Akali,1,0,6,6,16,0.0,3.67,6.0,6.0,16.0,2025-05-09 16:08:30
Yasuo,1,0,3,2,1,0.0,2.0,3.0,2.0,1.0,2025-05-09 16:08:30
Tryndamere,1,1,8,3,5,100.0,4.33,8.0,3.0,5.0,2025-05-09 16:08:30
Lulu,2,2,12,18,58,100.0,3.89,6.0,9.0,29.0,2025-05-09 16:08:30
Chogath,1,0,9,5,6,0.0,3.0,9.0,5.0,6.0,2025-05-09 16:08:30
Nautilus,2,0,6,14,36,0.0,3.0,3.0,7.0,18.0,2025-05-09 16:08:30
Janna,2,2,0,8,38,100.0,4.75,0.0,4.0,19.0,2025-05-09 16:08:30
Akshan,1,1,4,1,5,100.0,9.0,4.0,1.0,5.0,2025-05-09 16:08:30
Shen,1,0,3,8,1,0.0,0.5,3.0,8.0,1.0,2025-05-09 16:08:30
LeBlanc,1,1,1,1,7,100.0,8.0,1.0,1.0,7.0,2025-05-09 16:08:30
Yone,1,1,6,1,20,100.0,26.0,6.0,1.0,20.0,2025-05-09 16:08:30
