opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Yone,13,6,111,59,59,46.15,2.88,8.54,4.54,4.54,2025-05-09 16:08:30
Sylas,16,11,126,85,129,68.75,3.0,7.88,5.31,8.06,2025-05-09 16:08:30
Volibear,7,1,57,47,21,14.29,1.66,8.14,6.71,3.0,2025-05-09 16:08:30
Lillia,9,4,81,49,57,44.44,2.82,9.0,5.44,6.33,2025-05-09 16:08:30
Naafiri,15,6,124,81,58,40.0,2.25,8.27,5.4,3.87,2025-05-09 16:08:30
Elise,5,1,27,34,25,20.0,1.53,5.4,6.8,5.0,2025-05-09 16:08:30
Xin Zhao,7,3,58,37,38,42.86,2.59,8.29,5.29,5.43,2025-05-09 16:08:30
Vi,9,5,59,41,74,55.56,3.24,6.56,4.56,8.22,2025-05-09 16:08:30
Pantheon,4,3,23,23,36,75.0,2.57,5.75,5.75,9.0,2025-05-09 16:08:30
Gwen,5,0,17,27,24,0.0,1.52,3.4,5.4,4.8,2025-05-09 16:08:30
Riven,3,0,8,19,11,0.0,1.0,2.67,6.33,3.67,2025-05-09 16:08:30
Syndra,5,0,32,41,29,0.0,1.49,6.4,8.2,5.8,2025-05-09 16:08:30
KhaZix,7,1,43,41,27,14.29,1.71,6.14,5.86,3.86,2025-05-09 16:08:30
Twisted Fate,2,2,20,4,16,100.0,9.0,10.0,2.0,8.0,2025-05-09 16:08:30
Lucian,2,2,22,16,14,100.0,2.25,11.0,8.0,7.0,2025-05-09 16:08:30
Aurelion Sol,2,1,14,8,9,50.0,2.88,7.0,4.0,4.5,2025-05-09 16:08:30
Cassiopeia,2,0,18,16,20,0.0,2.38,9.0,8.0,10.0,2025-05-09 16:08:30
Azir,10,5,71,44,29,50.0,2.27,7.1,4.4,2.9,2025-05-09 16:08:30
Zoe,5,4,30,14,23,80.0,3.79,6.0,2.8,4.6,2025-05-09 16:08:30
Taliyah,7,3,73,23,59,42.86,5.74,10.43,3.29,8.43,2025-05-09 16:08:30
Diana,5,4,51,33,44,80.0,2.88,10.2,6.6,8.8,2025-05-09 16:08:30
Yasuo,6,1,46,60,33,16.67,1.32,7.67,10.0,5.5,2025-05-09 16:08:30
Tristana,2,0,8,4,10,0.0,4.5,4.0,2.0,5.0,2025-05-09 16:08:30
Viego,12,6,94,61,91,50.0,3.03,7.83,5.08,7.58,2025-05-09 16:08:30
Shen,6,6,44,22,40,100.0,3.82,7.33,3.67,6.67,2025-05-09 16:08:30
Nunu & Willump,2,0,8,9,3,0.0,1.22,4.0,4.5,1.5,2025-05-09 16:08:30
Galio,2,2,16,8,32,100.0,6.0,8.0,4.0,16.0,2025-05-09 16:08:30
Zac,1,0,7,5,9,0.0,3.2,7.0,5.0,9.0,2025-05-09 16:08:30
Ekko,8,6,73,50,46,75.0,2.38,9.12,6.25,5.75,2025-05-09 16:08:30
Graves,2,2,6,4,2,100.0,2.0,3.0,2.0,1.0,2025-05-09 16:08:30
Irelia,4,2,30,20,30,50.0,3.0,7.5,5.0,7.5,2025-05-09 16:08:30
Ivern,9,3,74,31,51,33.33,4.03,8.22,3.44,5.67,2025-05-09 16:08:30
Jayce,12,9,67,52,68,75.0,2.6,5.58,4.33,5.67,2025-05-09 16:08:30
Ryze,5,2,26,38,17,40.0,1.13,5.2,7.6,3.4,2025-05-09 16:08:30
Gragas,4,1,34,22,21,25.0,2.5,8.5,5.5,5.25,2025-05-09 16:08:30
Nasus,1,1,5,6,7,100.0,2.0,5.0,6.0,7.0,2025-05-09 16:08:30
Qiyana,6,2,42,35,26,33.33,1.94,7.0,5.83,4.33,2025-05-09 16:08:30
Talon,12,6,108,94,84,50.0,2.04,9.0,7.83,7.0,2025-05-09 16:08:30
Camille,2,0,14,16,24,0.0,2.38,7.0,8.0,12.0,2025-05-09 16:08:30
