opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Jinx,8,4,84,34,44,50.0,3.76,10.5,4.25,5.5,2025-05-09 16:08:30
Tristana,6,1,25,26,21,16.67,1.77,4.17,4.33,3.5,2025-05-09 16:08:30
Aurelion Sol,4,4,44,22,24,100.0,3.09,11.0,5.5,6.0,2025-05-09 16:08:30
Lucian,15,5,110,103,80,33.33,1.84,7.33,6.87,5.33,2025-05-09 16:08:30
Ezreal,13,6,77,68,71,46.15,2.18,5.92,5.23,5.46,2025-05-09 16:08:30
Smolder,2,0,22,18,14,0.0,2.0,11.0,9.0,7.0,2025-05-09 16:08:30
Jhin,11,4,72,64,51,36.36,1.92,6.55,5.82,4.64,2025-05-09 16:08:30
Yone,1,1,10,1,1,100.0,11.0,10.0,1.0,1.0,2025-05-09 16:08:30
Mel,6,2,36,46,60,33.33,2.09,6.0,7.67,10.0,2025-05-09 16:08:30
Lux,2,0,8,12,0,0.0,0.67,4.0,6.0,0.0,2025-05-09 16:08:30
Caitlyn,3,3,41,12,37,100.0,6.5,13.67,4.0,12.33,2025-05-09 16:08:30
Varus,6,3,41,37,33,50.0,2.0,6.83,6.17,5.5,2025-05-09 16:08:30
Yorick,2,0,2,12,6,0.0,0.67,1.0,6.0,3.0,2025-05-09 16:08:30
Viktor,1,0,1,3,1,0.0,0.67,1.0,3.0,1.0,2025-05-09 16:08:30
Karthus,1,0,7,15,9,0.0,1.07,7.0,15.0,9.0,2025-05-09 16:08:30
Ashe,4,1,16,20,12,25.0,1.4,4.0,5.0,3.0,2025-05-09 16:08:30
Miss Fortune,4,1,17,17,15,25.0,1.88,4.25,4.25,3.75,2025-05-09 16:08:30
Aurora,1,1,7,6,8,100.0,2.5,7.0,6.0,8.0,2025-05-09 16:08:30
Zyra,2,1,8,7,6,50.0,2.0,4.0,3.5,3.0,2025-05-09 16:08:30
Corki,3,1,13,19,16,33.33,1.53,4.33,6.33,5.33,2025-05-09 16:08:30
Kled,1,1,4,7,8,100.0,1.71,4.0,7.0,8.0,2025-05-09 16:08:30
Azir,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Olaf,1,0,0,9,2,0.0,0.22,0.0,9.0,2.0,2025-05-09 16:08:30
Seraphine,1,1,8,2,6,100.0,7.0,8.0,2.0,6.0,2025-05-09 16:08:30
Ryze,1,0,0,4,0,0.0,0.0,0.0,4.0,0.0,2025-05-09 16:08:30
Sivir,1,0,9,7,7,0.0,2.29,9.0,7.0,7.0,2025-05-09 16:08:30
Taliyah,2,0,24,14,16,0.0,2.86,12.0,7.0,8.0,2025-05-09 16:08:30
Draven,2,2,18,10,16,100.0,3.4,9.0,5.0,8.0,2025-05-09 16:08:30
Zilean,1,0,15,8,8,0.0,2.88,15.0,8.0,8.0,2025-05-09 16:08:30
Xayah,1,0,9,10,10,0.0,1.9,9.0,10.0,10.0,2025-05-09 16:08:30
Kalista,1,1,11,4,13,100.0,6.0,11.0,4.0,13.0,2025-05-09 16:08:30
