opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Draven,3,0,31,14,24,0.0,3.93,10.33,4.67,8.0,2025-05-09 16:08:30
Lux,2,2,4,6,22,100.0,4.33,2.0,3.0,11.0,2025-05-09 16:08:30
Caitlyn,1,0,10,3,6,0.0,5.33,10.0,3.0,6.0,2025-05-09 16:08:30
Ashe,1,1,13,3,11,100.0,8.0,13.0,3.0,11.0,2025-05-09 16:08:30
Mel,2,0,21,14,20,0.0,2.93,10.5,7.0,10.0,2025-05-09 16:08:30
Hwei,3,0,15,19,24,0.0,2.05,5.0,6.33,8.0,2025-05-09 16:08:30
Lucian,4,1,11,27,33,25.0,1.63,2.75,6.75,8.25,2025-05-09 16:08:30
Corki,1,0,0,4,2,0.0,0.5,0.0,4.0,2.0,2025-05-09 16:08:30
Miss Fortune,1,1,1,9,8,100.0,1.0,1.0,9.0,8.0,2025-05-09 16:08:30
Smolder,2,2,21,8,20,100.0,5.12,10.5,4.0,10.0,2025-05-09 16:08:30
Ezreal,1,0,2,4,5,0.0,1.75,2.0,4.0,5.0,2025-05-09 16:08:30
Viktor,3,0,17,26,23,0.0,1.54,5.67,8.67,7.67,2025-05-09 16:08:30
Taliyah,1,1,7,2,5,100.0,6.0,7.0,2.0,5.0,2025-05-09 16:08:30
Riven,1,1,7,5,8,100.0,3.0,7.0,5.0,8.0,2025-05-09 16:08:30
Akali,2,1,14,6,9,50.0,3.83,7.0,3.0,4.5,2025-05-09 16:08:30
Kaisa,1,0,3,3,1,0.0,1.33,3.0,3.0,1.0,2025-05-09 16:08:30
Karthus,1,1,12,5,12,100.0,4.8,12.0,5.0,12.0,2025-05-09 16:08:30
Varus,1,1,8,4,4,100.0,3.0,8.0,4.0,4.0,2025-05-09 16:08:30
Seraphine,2,1,10,8,17,50.0,3.38,5.0,4.0,8.5,2025-05-09 16:08:30
Sivir,1,1,10,3,18,100.0,9.33,10.0,3.0,18.0,2025-05-09 16:08:30
Jhin,2,1,5,4,11,50.0,4.0,2.5,2.0,5.5,2025-05-09 16:08:30
Yasuo,1,0,8,5,14,0.0,4.4,8.0,5.0,14.0,2025-05-09 16:08:30
