champion1,champion2,champion3,games,wins,win_rate
Zyra,Fiora,Riven,1,1,100.0
Lee Sin,Chogath,Taliyah,1,0,0.0
Gwen,Riven,Caitlyn,1,1,100.0
Lee Sin,Jayce,Viktor,1,0,0.0
Volibear,Gangplank,Riven,1,0,0.0
Jarvan IV,Pantheon,Twisted Fate,1,1,100.0
Poppy,Gragas,Ambessa,1,0,0.0
Udyr,Jax,Riven,1,1,100.0
Pantheon,Vayne,Annie,1,0,0.0
Jarvan IV,Ambessa,Orianna,1,1,100.0
Zed,Rumble,Aurora,1,1,100.0
Ekko,Nidalee,Yone,1,0,0.0
Xin Zhao,Rumble,Corki,1,0,0.0
Jax,Riven,Ziggs,1,1,100.0
Lee Sin,Gwen,Sylas,1,0,0.0
Jarvan IV,Jayce,Galio,1,1,100.0
Jarvan IV,Ambessa,Galio,1,1,100.0
Hecarim,Riven,Corki,1,0,0.0
Reksai,Ambessa,Sylas,1,1,100.0
Zed,Nidalee,Cassiopeia,1,0,0.0
Belveth,Jayce,Ryze,1,0,0.0
Ekko,Ambessa,Riven,1,1,100.0
Master Yi,Gwen,Morgana,1,0,0.0
Viego,Riven,Aurora,1,1,100.0
Wukong,Volibear,Aurora,1,1,100.0
Pantheon,Jax,Lux,1,0,0.0
Vi,Vayne,Lux,1,1,100.0
Mordekaiser,Camille,Morgana,1,0,0.0
Mordekaiser,Riven,Yasuo,1,1,100.0
Ambessa,Sion,Lux,1,0,0.0
Pantheon,Nidalee,Taliyah,1,1,100.0
Hecarim,Neeko,Orianna,1,0,0.0
Xin Zhao,Volibear,Azir,1,1,100.0
Jarvan IV,Riven,Sylas,1,0,0.0
Vi,Rumble,Yone,1,0,0.0
Ambessa,Riven,Azir,1,1,100.0
Jarvan IV,Riven,Annie,1,1,100.0
Pantheon,Vayne,Akali,1,0,0.0
Talon,Nidalee,Sylas,1,0,0.0
Nocturne,Renekton,Orianna,1,1,100.0
Lee Sin,Jax,Ambessa,1,1,100.0
Pantheon,Riven,Sylas,2,1,50.0
Viego,Jax,Aurora,1,0,0.0
