champion1,champion2,games,wins,win_rate
Nunu & Willump,Tristana,1,1,100.0
Nami,Varus,2,0,0.0
Braum,Ezreal,3,3,100.0
Rakan,Brand,1,0,0.0
Nunu & Willump,Twitch,1,0,0.0
Trundle,Kaisa,1,1,100.0
Cassiopeia,Caitlyn,1,0,0.0
Seraphine,Samira,1,1,100.0
Zilean,Twitch,1,0,0.0
Janna,Smolder,1,1,100.0
Leona,Yunara,1,1,100.0
Alistar,Smolder,1,0,0.0
Sona,Yunara,1,0,0.0
Zyra,Draven,1,1,100.0
Braum,Lucian,2,0,0.0
Alistar,Ezreal,4,1,25.0
Janna,Tristana,1,1,100.0
Alistar,Mel,2,1,50.0
Alistar,Senna,2,2,100.0
Bard,Ziggs,1,0,0.0
Rakan,Ezreal,1,0,0.0
Poppy,Zyra,1,1,100.0
Camille,Vayne,1,0,0.0
Karma,Senna,1,1,100.0
Alistar,Yunara,3,3,100.0
Nami,Riven,1,0,0.0
Bard,Zyra,1,1,100.0
Leona,Xayah,1,0,0.0
Rell,Vayne,1,1,100.0
Braum,Yunara,2,1,50.0
Thresh,Aphelios,2,1,50.0
Bard,Draven,1,0,0.0
Bard,Corki,2,1,50.0
Rakan,Mel,1,0,0.0
Rell,Lucian,2,0,0.0
Nautilus,Smolder,1,1,100.0
Senna,Aurora,1,0,0.0
Alistar,Kaisa,2,0,0.0
Rumble,Yunara,1,1,100.0
Yuumi,Lucian,3,0,0.0
Rell,Heimerdinger,1,0,0.0
Gragas,Sivir,1,1,100.0
Riven,Draven,1,1,100.0
Neeko,Jhin,1,0,0.0
Rell,Ashe,1,0,0.0
Nami,Lucian,5,3,60.0
Nautilus,Xayah,1,0,0.0
Lulu,Karthus,1,1,100.0
Karma,Lux,1,0,0.0
Braum,Aphelios,1,1,100.0
Elise,Zeri,1,0,0.0
Bard,Miss Fortune,1,1,100.0
Nautilus,Twitch,2,1,50.0
Nautilus,Yunara,2,2,100.0
Pantheon,Kaisa,1,1,100.0
