blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Illaoi,Sett,Akali,Ornn,10.7,Doran,Ikssu,,,,
Trundle,Varus,Sejuani,Jarvan IV,10.7,Pyosik,Flawless,,,,
Kalista,Senna,Aatrox,LeBlanc,10.7,Chovy,Cover,,,,
Miss Fortune,Nautilus,Aphelios,Twitch,10.7,Deft,HyBrid,,,,
Ezreal,Volibear,Alistar,Yuumi,10.7,Keria,Secret,,,,
,,,,,,,DragonX,SeolHaeOne Prince,blue_side,red_side
Sett,LeBlanc,Pantheon,Aatrox,10.7,Ikssu,Doran,,,,
Varus,Trundle,Elise,Sejuani,10.7,Flawless,Pyosik,,,,
Senna,Olaf,Ekko,Azir,10.7,Cover,Chovy,,,,
Akali,Irelia,Aphelios,Kalista,10.7,HyBrid,Deft,,,,
Zoe,Kassadin,Thresh,Blitzcrank,10.7,Secret,Keria,,,,
,,,,,,,SeolHaeOne Prince,DragonX,blue_side,red_side
Illaoi,Sett,Jayce,Sion,10.7,Doran,Ikssu,,,,
Kalista,Senna,Sejuani,Jarvan IV,10.7,Pyosik,Flawless,,,,
Trundle,Aphelios,Sylas,LeBlanc,10.7,Chovy,Cover,,,,
Ornn,Tahm Kench,Varus,Miss Fortune,10.7,Deft,HyBrid,,,,
Malphite,Braum,Morgana,Nautilus,10.7,Keria,Secret,,,,
,,,,,,,DragonX,SeolHaeOne Prince,blue_side,red_side
Yuumi,Aphelios,Vladimir,Gnar,10.7,Untara,CuVee,,,,
Taric,Rumble,Sett,Trundle,10.7,Tarzan,Haru,,,,
Elise,Gragas,Corki,Zoe,10.7,Ucal,Lava,,,,
Lucian,Jayce,Varus,Maokai,10.7,Viper,Lehends,,,,
Kassadin,Azir,Tahm Kench,Senna,10.7,sanghyeon,Vsta,,,,
,,,,,,,Griffin,Hanwha Life eSports,blue_side,red_side
Ornn,Sett,Sylas,Rumble,10.7,CuVee,Sw0rd,,,,
Varus,Elise,RekSai,Jarvan IV,10.7,Haru,Tarzan,,,,
Gragas,Yuumi,Akali,Zoe,10.7,Lava,Ucal,,,,
Galio,Trundle,Aphelios,Kalista,10.7,Vsta,Viper,,,,
Azir,Sejuani,Braum,Taric,10.7,Lehends,sanghyeon,,,,
,,,,,,,Hanwha Life eSports,Griffin,red_side,blue_side
Qiyana,Aphelios,Sett,Aatrox,10.7,Nuguri,Summit,,,,
Olaf,Senna,Sejuani,Trundle,10.7,Canyon,OnFleek,,,,
Kalista,Varus,Corki,LeBlanc,10.7,ShowMaker,FATE,,,,
Yuumi,Kassadin,Ezreal,Miss Fortune,10.7,Ghost,Leo,,,,
Gnar,Sylas,Taric,Rakan,10.7,BeryL,GorillA,,,,
,,,,,,,DAMWON Gaming,Sandbox Gaming,red_side,blue_side
Sett,Senna,Ornn,Jayce,10.7,Summit,Nuguri,,,,
Sylas,Qiyana,Lee Sin,Olaf,10.7,OnFleek,Canyon,,,,
Aphelios,Trundle,LeBlanc,Galio,10.7,FATE,ShowMaker,,,,
Irelia,Taric,Kalista,Varus,10.7,Leo,Ghost,,,,
Tahm Kench,Yuumi,Braum,Thresh,10.7,GorillA,BeryL,,,,
,,,,,,,Sandbox Gaming,DAMWON Gaming,red_side,blue_side
Qiyana,Aphelios,Jayce,Lucian,10.7,Nuguri,Summit,,,,
LeBlanc,Senna,Olaf,Trundle,10.7,Canyon,OnFleek,,,,
Sett,Varus,Zoe,Syndra,10.7,ShowMaker,FATE,,,,
Kennen,Thresh,Kalista,Miss Fortune,10.7,Ghost,Leo,,,,
Aatrox,Yuumi,Bard,Taric,10.7,BeryL,GorillA,,,,
,,,,,,,DAMWON Gaming,Sandbox Gaming,blue_side,red_side
Elise,Azir,Lucian,Jayce,10.7,Canna,Kiin,,,,
Kalista,Ornn,Gragas,Trundle,10.7,Cuzz,Spirit,,,,
Pantheon,Sett,Akali,Syndra,10.7,Faker,ALL IN,,,,
Galio,Zoe,Varus,Sivir,10.7,Teddy,Mystic,,,,
LeBlanc,Taric,Alistar,Braum,10.7,Effort,Jelly,,,,
,,,,,,,T1,Afreeca Freecs,blue_side,red_side
LeBlanc,Elise,Kennen,Jayce,10.7,Kiin,Canna,,,,
Ornn,Kalista,Graves,Trundle,10.7,Spirit,Cuzz,,,,
Aphelios,Sett,Rumble,Azir,10.7,ALL IN,Faker,,,,
Akali,Irelia,Varus,Miss Fortune,10.7,Mystic,Teddy,,,,
Zoe,Lucian,Taric,Braum,10.7,Jelly,Effort,,,,
,,,,,,,Afreeca Freecs,T1,red_side,blue_side
Trundle,Aphelios,Sett,Jayce,10.7,Rascal,SoHwan,,,,
Yuumi,Senna,Sylas,Sejuani,10.7,Clid,bono,,,,
LeBlanc,Zoe,Azir,VelKoz,10.7,Bdd,kurO,,,,
Aatrox,Jarvan IV,Kalista,Varus,10.7,Ruler,Aiming,,,,
Zilean,Elise,Taric,Braum,10.7,Kellin,TusiN,,,,
,,,,,,,Gen.G eSports,KT Rolster,red_side,blue_side
Zoe,Trundle,Shen,Ornn,10.7,Ray,Rascal,,,,
LeBlanc,Senna,Jarvan IV,RekSai,10.7,Malrang,Clid,,,,
Varus,Taric,Galio,Sylas,10.7,kurO,Bdd,,,,
Rakan,Zilean,Aphelios,Kalista,10.7,Aiming,Ruler,,,,
Azir,VelKoz,Braum,Sett,10.7,TusiN,Life,,,,
,,,,,,,KT Rolster,Gen.G eSports,red_side,blue_side
Trundle,Aphelios,Ornn,Mordekaiser,10.7,Rascal,SoHwan,,,,
Jayce,Senna,RekSai,Sejuani,10.7,Clid,bono,,,,
Yuumi,Zoe,Azir,Zilean,10.7,Bdd,kurO,,,,
Aatrox,Braum,Kalista,Varus,10.7,Ruler,Aiming,,,,
Sett,Sylas,Rakan,Taric,10.7,Life,TusiN,,,,
,,,,,,,Gen.G eSports,KT Rolster,blue_side,red_side
Akali,Sett,Gnar,Aatrox,10.6,CuVee,Rascal,,,,
