blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Lucian,Caitlyn,Camille,Gangplank,10.16,Wunder,Bwipo,,,,
Thresh,Hecarim,Shen,Gragas,10.16,Jankos,Selfmade,,,,
Senna,Sett,LeBlanc,Orianna,10.16,Caps,Nemesis,,,,
Evelynn,Akali,Ashe,Jhin,10.16,Perkz,Rekkles,,,,
Lillia,Sion,Braum,Nautilus,10.16,Mikyx,Hylissang,,,,
,,,,,,,G2 Esports,Fnatic,blue_side,red_side
LeBlanc,Lucian,Zilean,Ornn,10.16,Bwipo,Wunder,,,,
Shen,Orianna,Hecarim,Sett,10.16,Selfmade,Jankos,,,,
Caitlyn,Thresh,Corki,Sylas,10.16,Nemesis,Caps,,,,
Mordekaiser,Nautilus,Senna,Ashe,10.16,Rekkles,Perkz,,,,
Camille,Leona,Pyke,Lulu,10.16,Hylissang,Mikyx,,,,
,,,,,,,Fnatic,G2 Esports,red_side,blue_side
LeBlanc,Lucian,Ornn,Vladimir,10.16,Bwipo,Wunder,,,,
Shen,Thresh,Graves,Sett,10.16,Selfmade,Jankos,,,,
Hecarim,Orianna,Corki,Syndra,10.16,Nemesis,Caps,,,,
Zoe,Evelynn,Caitlyn,Ashe,10.16,Rekkles,Perkz,,,,
Akali,Rengar,Bard,Nautilus,10.16,Hylissang,Mikyx,,,,
,,,,,,,Fnatic,G2 Esports,red_side,blue_side
LeBlanc,Caitlyn,Ornn,Kayle,10.16,Finn,Wunder,,,,
Sett,Lucian,Hecarim,Graves,10.16,Inspired,Jankos,,,,
Zoe,Thresh,Akali,Orianna,10.16,Larssen,Caps,,,,
Nautilus,Azir,Ashe,Kalista,10.16,Hans Sama,Perkz,,,,
Taric,Syndra,Braum,Leona,10.16,VandeR,Mikyx,,,,
,,,,,,,Rogue,G2 Esports,blue_side,red_side
LeBlanc,Caitlyn,Gangplank,Sion,10.16,Finn,Wunder,,,,
Sett,Lucian,Hecarim,Volibear,10.16,Inspired,Jankos,,,,
Zoe,Thresh,Akali,Syndra,10.16,Larssen,Caps,,,,
Orianna,Nautilus,Senna,Ashe,10.16,Hans Sama,Perkz,,,,
Azir,Tahm Kench,Braum,Taric,10.16,VandeR,Mikyx,,,,
,,,,,,,Rogue,G2 Esports,red_side,blue_side
LeBlanc,Caitlyn,Gangplank,Neeko,10.16,Finn,Wunder,,,,
Sett,Lucian,Lillia,Graves,10.16,Inspired,Jankos,,,,
Taric,Hecarim,Azir,Zoe,10.16,Larssen,Caps,,,,
Camille,Ornn,Aphelios,Ashe,10.16,Hans Sama,Perkz,,,,
Syndra,Akali,Thresh,Nautilus,10.16,VandeR,Mikyx,,,,
,,,,,,,Rogue,G2 Esports,red_side,blue_side
Lucian,Caitlyn,Kennen,Ornn,10.16,Wunder,Finn,,,,
Thresh,LeBlanc,Sett,Lillia,10.16,Jankos,Inspired,,,,
Gangplank,Hecarim,Irelia,Akali,10.16,Caps,Larssen,,,,
Shen,Orianna,Ashe,Kalista,10.16,Perkz,Hans Sama,,,,
Renekton,Zoe,Leona,Nautilus,10.16,Mikyx,VandeR,,,,
,,,,,,,G2 Esports,Rogue,red_side,blue_side
LeBlanc,Caitlyn,Aatrox,Shen,10.16,Finn,Wunder,,,,
Ezreal,Lucian,Lillia,Hecarim,10.16,Inspired,Jankos,,,,
Ashe,Kalista,Akali,Syndra,10.16,Larssen,Caps,,,,
Orianna,Gangplank,Draven,Senna,10.16,Hans Sama,Perkz,,,,
Zoe,Sett,Nautilus,Thresh,10.16,VandeR,Mikyx,,,,
,,,,,,,Rogue,G2 Esports,red_side,blue_side
Lillia,Caitlyn,Ornn,Camille,10.16,Finn,Orome,,,,
Akali,Gangplank,Evelynn,Lee Sin,10.16,Inspired,Shad0w,,,,
Hecarim,Renekton,Lucian,Twisted Fate,10.16,Larssen,Humanoid,,,,
Graves,Shen,Senna,Ashe,10.16,Hans Sama,Carzzy,,,,
Lulu,Jax,Tahm Kench,Thresh,10.16,VandeR,Kaiser,,,,
,,,,,,,Rogue,MAD Lions,blue_side,red_side
Lucian,Caitlyn,Renekton,Shen,10.16,Orome,Finn,,,,
Evelynn,Lillia,Graves,Hecarim,10.16,Shad0w,Inspired,,,,
Gangplank,Akali,Zoe,Syndra,10.16,Humanoid,Larssen,,,,
Orianna,LeBlanc,Ashe,Senna,10.16,Carzzy,Hans Sama,,,,
Azir,Taric,Leona,Nautilus,10.16,Kaiser,VandeR,,,,
,,,,,,,MAD Lions,Rogue,red_side,blue_side
Lucian,Caitlyn,Gangplank,Sion,10.16,Orome,Finn,,,,
Evelynn,Lillia,Nidalee,Graves,10.16,Shad0w,Inspired,,,,
Hecarim,Akali,Twisted Fate,Azir,10.16,Humanoid,Larssen,,,,
