blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Ziggs,Kalista,Renekton,Jayce,11.15,Rascal,Rich,,,,
Ryze,Ashe,Xin Zhao,Diana,11.15,Clid,Peanut,,,,
Aphelios,Azir,Syndra,Lucian,11.15,Bdd,Gori,,,,
Yasuo,Volibear,Ezreal,Varus,11.15,Ruler,deokdam,,,,
LeBlanc,Trundle,Leona,Braum,11.15,Life,Kellin,,,,
,,,,,,,Gen.G eSports,Nongshim RedForce,blue_side,red_side
Ziggs,Kalista,Renekton,Jayce,11.15,Rascal,Rich,,,,
Ryze,Ashe,Diana,Lee Sin,11.15,Clid,Peanut,,,,
Varus,Leona,Azir,LeBlanc,11.15,Bdd,Gori,,,,
Jinx,Volibear,Aphelios,KogMaw,11.15,Ruler,deokdam,,,,
Ezreal,Xin Zhao,Thresh,Lulu,11.15,Life,Kellin,,,,
,,,,,,,Gen.G eSports,Nongshim RedForce,blue_side,red_side
Ryze,Lucian,Camille,Gnar,11.15,Morgan,Canna,,,,
Irelia,Renekton,Lee Sin,Viego,11.15,Willer,Oner,,,,
Jayce,Diana,LeBlanc,Lissandra,11.15,Chovy,Faker,,,,
Syndra,Thresh,Ashe,Ezreal,11.15,Deft,Gumayusi,,,,
Kennen,Ziggs,Lulu,Trundle,11.15,Vsta,Keria,,,,
,,,,,,,Hanwha Life eSports,T1,blue_side,red_side
Lucian,Ryze,Kennen,Camille,11.15,Canna,Morgan,,,,
Irelia,Jayce,Graves,Nidalee,11.15,Oner,Willer,,,,
Diana,Lee Sin,Renekton,Sett,11.15,Faker,Chovy,,,,
Ezreal,Aphelios,Jhin,Varus,11.15,Gumayusi,Deft,,,,
Ziggs,Trundle,Leona,Tahm Kench,11.15,Keria,Vsta,,,,
,,,,,,,T1,Hanwha Life eSports,red_side,blue_side
Irelia,Renekton,Kennen,Gangplank,11.15,Kiin,Doran,,,,
Lucian,Ryze,Viego,Trundle,11.15,Dread,GIDEON,,,,
Jayce,Lee Sin,Syndra,Twisted Fate,11.15,Fly,Ucal,,,,
Sylas,Gnar,Varus,Jinx,11.15,Leo,5Kid,,,,
Camille,Leona,Braum,Thresh,11.15,Lehends,Zzus,,,,
,,,,,,,Afreeca Freecs,KT Rolster,red_side,blue_side
Kalista,Lucian,Gangplank,Ryze,11.15,Doran,Kiin,,,,
Gnar,Renekton,Lee Sin,Xin Zhao,11.15,blank,Dread,,,,
Jayce,Trundle,LeBlanc,Lissandra,11.15,Dove,Fly,,,,
Irelia,Karma,Ezreal,Varus,11.15,5Kid,Leo,,,,
Camille,Kennen,Braum,Leona,11.15,Zzus,Lehends,,,,
,,,,,,,KT Rolster,Afreeca Freecs,red_side,blue_side
Irelia,Renekton,Gnar,Kennen,11.15,Kiin,Doran,,,,
Lucian,Ryze,Lee Sin,Xin Zhao,11.15,Dread,blank,,,,
Trundle,Jayce,Zoe,Sylas,11.15,Fly,Dove,,,,
Gangplank,Syndra,Varus,Ezreal,11.15,Leo,5Kid,,,,
