blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Renekton,Aphelios,Gnar,Aatrox,12.14,Dove,kingen,,,,
Sylas,Sivir,Sejuani,Poppy,12.14,Croco,Juhan,,,,
Kalista,Azir,Viktor,Akali,12.14,Clozer,Zeka,,,,
Swain,Ornn,Nilah,Zeri,12.14,Prince,Deft,,,,
Taliyah,Ahri,Yuumi,Lulu,12.14,Kael,BeryL,,,,
,,,,,,,Liiv SANDBOX,DRX,red_side,blue_side
Renekton,Aphelios,Ornn,Gwen,12.14,Dove,kingen,,,,
Sylas,Sivir,Trundle,Vi,12.14,Croco,Juhan,,,,
Yuumi,Poppy,Ahri,Azir,12.14,Clozer,Zeka,,,,
Zeri,Amumu,Kalista,Ezreal,12.14,Prince,Deft,,,,
Xayah,Nautilus,Leona,Renata Glasc,12.14,Kael,BeryL,,,,
,,,,,,,Liiv SANDBOX,DRX,blue_side,red_side
Aphelios,Sivir,Camille,Fiora,12.14,kingen,Dove,,,,
Poppy,Kalista,Vi,Wukong,12.14,Pyosik,Croco,,,,
Yuumi,Renekton,Sylas,Azir,12.14,Zeka,Clozer,,,,
Ornn,Trundle,Zeri,Lucian,12.14,Deft,Prince,,,,
Sejuani,Aatrox,Lulu,Nami,12.14,BeryL,Kael,,,,
,,,,,,,DRX,Liiv SANDBOX,red_side,blue_side
Aphelios,Sivir,Aatrox,Fiora,12.14,kingen,Dove,,,,
Poppy,Kalista,Sejuani,Wukong,12.14,Juhan,Croco,,,,
Yuumi,Renekton,Azir,Sylas,12.14,Zeka,Clozer,,,,
Trundle,Nilah,Zeri,Lucian,12.14,Deft,Prince,,,,
Ornn,KogMaw,Lulu,Nami,12.14,BeryL,Kael,,,,
,,,,,,,DRX,Liiv SANDBOX,blue_side,red_side
Renekton,Kalista,Aatrox,Jax,12.14,Dove,kingen,,,,
Yuumi,Ornn,Vi,Sejuani,12.14,Croco,Juhan,,,,
Azir,Poppy,Ahri,Sylas,12.14,Clozer,Zeka,,,,
Aphelios,Fiora,Sivir,Zeri,12.14,Prince,Deft,,,,
Lucian,Trundle,Lulu,Soraka,12.14,Kael,BeryL,,,,
,,,,,,,Liiv SANDBOX,DRX,red_side,blue_side
Poppy,Renekton,Aatrox,Fiora,12.14,Rascal,kingen,,,,
Azir,Kalista,Sejuani,Wukong,12.14,Cuzz,Pyosik,,,,
Draven,Ahri,Taliyah,Sylas,12.14,Vicla,Zeka,,,,
Ornn,Amumu,Sivir,Zeri,12.14,Aiming,Deft,,,,
Trundle,Lulu,Nautilus,Yuumi,12.14,Life,BeryL,,,,
,,,,,,,KT Rolster,DRX,red_side,blue_side
Renekton,Sivir,Sejuani,Jax,12.14,kingen,Rascal,,,,
Aphelios,Lucian,Trundle,Poppy,12.14,Pyosik,Cuzz,,,,
Yuumi,Kalista,Azir,Sylas,12.14,Zeka,Vicla,,,,
Gwen,Nautilus,Zeri,Nilah,12.14,Deft,Aiming,,,,
Aatrox,Lulu,Renata Glasc,Zyra,12.14,BeryL,Life,,,,
,,,,,,,DRX,KT Rolster,red_side,blue_side
Renekton,Sivir,Gragas,Sion,12.14,kingen,Rascal,,,,
Ahri,Kalista,Wukong,Sejuani,12.14,Pyosik,Cuzz,,,,
Poppy,Sylas,Azir,Taliyah,12.14,Zeka,Vicla,,,,
LeBlanc,Ornn,Zeri,Lucian,12.14,Deft,Aiming,,,,
Aatrox,Trundle,Lulu,Nami,12.14,BeryL,Life,,,,
,,,,,,,DRX,KT Rolster,red_side,blue_side
Renekton,Sivir,Camille,Aatrox,12.14,kingen,Rascal,,,,
Ahri,Kalista,Vi,Sejuani,12.14,Juhan,Cuzz,,,,
Poppy,Sylas,Azir,Swain,12.14,Zeka,Vicla,,,,
LeBlanc,Ornn,Zeri,Lucian,12.14,Deft,Aiming,,,,
Jax,Trundle,Lulu,Nami,12.14,BeryL,Life,,,,
,,,,,,,DRX,KT Rolster,blue_side,red_side
Poppy,Renekton,Jax,Aatrox,12.14,Rascal,kingen,,,,
Azir,Kalista,Sejuani,Wukong,12.14,Cuzz,Juhan,,,,
Sivir,Sylas,Taliyah,Swain,12.14,Vicla,Zeka,,,,
Ahri,Nautilus,Nilah,Xayah,12.14,Aiming,Deft,,,,
Gragas,Amumu,Sona,Yuumi,12.14,Life,BeryL,,,,
,,,,,,,KT Rolster,DRX,red_side,blue_side
Yuumi,Renekton,Aatrox,Gragas,12.14,Nuguri,Dove,,,,
Azir,Sivir,Sejuani,Vi,12.14,Canyon,Croco,,,,
Nautilus,Kalista,Swain,Ahri,12.14,ShowMaker,Clozer,,,,
Ornn,Sylas,Lucian,Aphelios,12.14,deokdam,Prince,,,,
Poppy,Taliyah,Nami,Lulu,12.14,Kellin,Kael,,,,
,,,,,,,DWG KIA,Liiv SANDBOX,blue_side,red_side
Renekton,Azir,Aatrox,Yone,12.14,Dove,Burdol,,,,
Kalista,Yuumi,Trundle,Vi,12.14,Croco,Canyon,,,,
Sejuani,Sivir,Ahri,Vex,12.14,Clozer,ShowMaker,,,,
Swain,Poppy,Aphelios,Lucian,12.14,Prince,deokdam,,,,
Lissandra,Ornn,Renata Glasc,Nami,12.14,Kael,Kellin,,,,
,,,,,,,Liiv SANDBOX,DWG KIA,blue_side,red_side
Yuumi,Renekton,Gwen,Aatrox,12.14,Nuguri,Dove,,,,
Azir,Kalista,Lee Sin,Trundle,12.14,Canyon,Croco,,,,
Aphelios,Sejuani,Sylas,LeBlanc,12.14,ShowMaker,Clozer,,,,
Akali,Camille,Sivir,Zeri,12.14,deokdam,Prince,,,,
Ahri,Wukong,Renata Glasc,Lulu,12.14,Kellin,Kael,,,,
,,,,,,,DWG KIA,Liiv SANDBOX,blue_side,red_side
Renekton,Yuumi,Ornn,Aatrox,12.14,Dove,Nuguri,,,,
Sejuani,Azir,Trundle,Wukong,12.14,Croco,Canyon,,,,
Draven,Kalista,Ahri,Sylas,12.14,Clozer,ShowMaker,,,,
Gwen,Vi,Sivir,Lucian,12.14,Prince,deokdam,,,,
No ban,Poppy,Lulu,Nami,12.14,Kael,Kellin,,,,
,,,,,,,Liiv SANDBOX,DWG KIA,red_side,blue_side
