blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Poppy,Nautilus,Ornn,Aatrox,12.14,Zeus,Doran,,,,
Lucian,Kalista,Wukong,Sejuani,12.14,Oner,Peanut,,,,
Yuumi,Draven,Ahri,Azir,12.14,Faker,Chovy,,,,
Morgana,Camille,Sivir,Zeri,12.14,Gumayusi,Ruler,,,,
Renekton,Karma,Amumu,Lulu,12.14,Keria,Lehends,,,,
,,,,,,,T1,Gen.G eSports,red_side,blue_side
Poppy,Nautilus,Gnar,Aatrox,12.14,Zeus,Doran,,,,
Lucian,Kalista,Morgana,Sejuani,12.14,Oner,Peanut,,,,
Azir,Sivir,Renekton,Sylas,12.14,Faker,Chovy,,,,
Vi,Ahri,Zeri,Nilah,12.14,Gumayusi,Ruler,,,,
Wukong,Trundle,Yuumi,Singed,12.14,Keria,Lehends,,,,
,,,,,,,T1,Gen.G eSports,red_side,blue_side
Nautilus,Poppy,Renekton,Mordekaiser,12.14,Doran,Zeus,,,,
Draven,Kalista,Xin Zhao,Vi,12.14,Peanut,Oner,,,,
Camille,Sejuani,Azir,Ahri,12.14,Chovy,Faker,,,,
Amumu,Wukong,Zeri,Sivir,12.14,Ruler,Gumayusi,,,,
Ornn,Skarner,Yuumi,Lulu,12.14,Lehends,Keria,,,,
,,,,,,,Gen.G eSports,T1,blue_side,red_side
Lucian,Ahri,Ornn,Renekton,12.14,Zeus,Burdol,,,,
Renata Glasc,Galio,Trundle,Wukong,12.14,Oner,Canyon,,,,
Kalista,Nautilus,Azir,Taliyah,12.14,Faker,ShowMaker,,,,
Alistar,Gwen,Sivir,Yasuo,12.14,Gumayusi,deokdam,,,,
Nilah,Vi,Yuumi,Senna,12.14,Keria,Kellin,,,,
,,,,,,,T1,DWG KIA,blue_side,red_side
Ahri,Renata Glasc,Renekton,Gnar,12.14,Burdol,Zeus,,,,
Gwen,Sivir,Poppy,Wukong,12.14,Canyon,Oner,,,,
Nautilus,Lucian,LeBlanc,Sylas,12.14,ShowMaker,Faker,,,,
Azir,Taliyah,Draven,Kalista,12.14,deokdam,Gumayusi,,,,
Aatrox,Trundle,Braum,Amumu,12.14,Kellin,Keria,,,,
,,,,,,,DWG KIA,T1,red_side,blue_side
Gwen,Lucian,Renekton,Aatrox,12.14,Nuguri,Zeus,,,,
Ahri,Sivir,Morgana,Wukong,12.14,Canyon,Oner,,,,
Nautilus,Renata Glasc,Swain,Lissandra,12.14,ShowMaker,Faker,,,,
Sylas,Taliyah,Draven,Kalista,12.14,deokdam,Gumayusi,,,,
Azir,Trundle,Braum,Amumu,12.14,Kellin,Keria,,,,
,,,,,,,DWG KIA,T1,blue_side,red_side
Renata Glasc,Ahri,Camille,Yone,12.14,Zeus,Burdol,,,,
