blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Senna,Sejuani,Kennen,Malphite,12.15,Fudge,ssumday,,,,
Renekton,Kalista,Nocturne,Poppy,12.15,Blaber,Closer,,,,
Amumu,Yuumi,LeBlanc,Azir,12.15,Jensen,Abbedagge,,,,
Nautilus,Trundle,Zeri,Sivir,12.15,Berserker,FBI,,,,
Ornn,Wukong,Lulu,Soraka,12.15,Zven,Huhi,,,,
,,,,,,,Cloud9,100 Thieves,blue_side,red_side
Sejuani,Senna,Fiora,Jax,12.15,ssumday,Fudge,,,,
LeBlanc,Kalista,Jarvan IV,Wukong,12.15,Closer,Blaber,,,,
Azir,Renekton,Sylas,Zilean,12.15,Abbedagge,Jensen,,,,
Kennen,Taliyah,Zeri,Sivir,12.15,FBI,Berserker,,,,
Gangplank,Ornn,Lulu,Yuumi,12.15,Huhi,Zven,,,,
,,,,,,,100 Thieves,Cloud9,red_side,blue_side
Sejuani,Senna,Fiora,Gnar,12.15,ssumday,Fudge,,,,
LeBlanc,Kalista,Poppy,Wukong,12.15,Closer,Blaber,,,,
Yuumi,Azir,Taliyah,Zilean,12.15,Abbedagge,Jensen,,,,
Kennen,Amumu,Zeri,Sivir,12.15,FBI,Berserker,,,,
Gangplank,Renekton,Alistar,Lulu,12.15,Huhi,Zven,,,,
,,,,,,,100 Thieves,Cloud9,red_side,blue_side
Sylas,Kalista,Aatrox,Ornn,12.15,ssumday,Impact,,,,
Sejuani,Seraphine,Poppy,Trundle,12.15,Closer,Inspired,,,,
Vi,Yuumi,Azir,Viktor,12.15,Abbedagge,jojopyun,,,,
Taliyah,Wukong,Tahm Kench,Lucian,12.15,Huhi,Kaori,,,,
Renekton,Lee Sin,Senna,Nami,12.15,FBI,Vulcan,,,,
,,,,,,,100 Thieves,Evil Geniuses,red_side,blue_side
Sejuani,Kalista,Fiora,Aatrox,12.15,ssumday,Impact,,,,
Vi,Seraphine,Xin Zhao,Poppy,12.15,Closer,Inspired,,,,
Lucian,Wukong,Azir,Akali,12.15,Abbedagge,jojopyun,,,,
Sylas,Trundle,Sivir,Zeri,12.15,FBI,Kaori,,,,
Renekton,Ornn,Yuumi,Lulu,12.15,Huhi,Vulcan,,,,
,,,,,,,100 Thieves,Evil Geniuses,blue_side,red_side
Seraphine,Sejuani,Gangplank,Ornn,12.15,Impact,ssumday,,,,
Wukong,Kalista,Poppy,Xin Zhao,12.15,Inspired,Closer,,,,
Vi,Renekton,Sylas,Azir,12.15,jojopyun,Abbedagge,,,,
Trundle,Taliyah,Lucian,Zeri,12.15,Kaori,FBI,,,,
Aatrox,Akali,Nami,Yuumi,12.15,Vulcan,Huhi,,,,
,,,,,,,Evil Geniuses,100 Thieves,blue_side,red_side
Sejuani,Kalista,Renekton,Sion,12.15,ssumday,Impact,,,,
Lucian,Seraphine,Poppy,Jarvan IV,12.15,Closer,Inspired,,,,
Sylas,Wukong,Taliyah,Azir,12.15,Abbedagge,jojopyun,,,,
Trundle,Lulu,Zeri,Sivir,12.15,FBI,Kaori,,,,
Ornn,Alistar,Amumu,Yuumi,12.15,Huhi,Vulcan,,,,
,,,,,,,100 Thieves,Evil Geniuses,blue_side,red_side
Seraphine,Sejuani,Gangplank,Gwen,12.15,Impact,ssumday,,,,
Wukong,Kalista,Poppy,Trundle,12.15,Inspired,Closer,,,,
Taliyah,Lucian,Ahri,Azir,12.15,jojopyun,Abbedagge,,,,
Amumu,Sylas,Sivir,Zeri,12.15,Kaori,FBI,,,,
Yuumi,Akali,Lulu,Soraka,12.15,Vulcan,Huhi,,,,
,,,,,,,Evil Geniuses,100 Thieves,red_side,blue_side
Kalista,Zeri,Gangplank,Gragas,12.15,Impact,Bwipo,,,,
Sivir,Seraphine,Jarvan IV,Trundle,12.15,Inspired,Santorin,,,,
Zilean,Aatrox,Azir,Akali,12.15,jojopyun,Bjergsen,,,,
Swain,Wukong,Tahm Kench,Jinx,12.15,Vulcan,Hans Sama,,,,
Ornn,Lee Sin,Senna,Lulu,12.15,Danny,CoreJJ,,,,
,,,,,,,Evil Geniuses,Team Liquid,blue_side,red_side
Zeri,Kalista,Jax,Aatrox,12.15,Bwipo,Impact,,,,
