blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
LeBlanc,Zeri,Rumble,Tryndamere,12.5,Odoamne,Brokenblade,,,,
Xayah,Caitlyn,Xin Zhao,Jarvan IV,12.5,Malrang,Jankos,,,,
Volibear,Hecarim,Lucian,Ahri,12.5,Larssen,Caps,,,,
Ornn,Poppy,Aphelios,Miss Fortune,12.5,Comp,Flakked,,,,
Yuumi,Lee Sin,Leona,Rakan,12.5,Trymbi,Targamas,,,,
,,,,,,,Rogue,G2 Esports,red_side,blue_side
LeBlanc,Zeri,Gwen,Ornn,12.5,Odoamne,Brokenblade,,,,
Ahri,Caitlyn,Volibear,Jarvan IV,12.5,Malrang,Jankos,,,,
Aphelios,Hecarim,Azir,Corki,12.5,Larssen,Caps,,,,
Jayce,Camille,Jinx,Xayah,12.5,Comp,Flakked,,,,
Rakan,Gnar,Nautilus,Renata Glasc,12.5,Trymbi,Targamas,,,,
,,,,,,,Rogue,G2 Esports,red_side,blue_side
Caitlyn,LeBlanc,Ornn,Jayce,12.5,Brokenblade,Odoamne,,,,
Aphelios,Zeri,Trundle,Jarvan IV,12.5,Jankos,Malrang,,,,
Hecarim,Volibear,Ahri,Twisted Fate,12.5,Caps,Larssen,,,,
Gnar,Camille,Xayah,Jinx,12.5,Flakked,Comp,,,,
Rakan,Irelia,Pyke,Braum,12.5,Targamas,Trymbi,,,,
,,,,,,,G2 Esports,Rogue,blue_side,red_side
Volibear,Zeri,Jayce,Ornn,12.5,Wunder,Brokenblade,,,,
Hecarim,Caitlyn,Diana,Jarvan IV,12.5,Razork,Jankos,,,,
Sylas,LeBlanc,Twisted Fate,Ahri,12.5,Humanoid,Caps,,,,
Rakan,Viego,Jinx,Aphelios,12.5,Upset,Flakked,,,,
Irelia,Lee Sin,Thresh,Renata Glasc,12.5,Hylissang,Targamas,,,,
,,,,,,,Fnatic,G2 Esports,red_side,blue_side
Volibear,Zeri,Gragas,Ornn,12.5,Wunder,Brokenblade,,,,
Twisted Fate,Caitlyn,Lee Sin,Jarvan IV,12.5,Razork,Jankos,,,,
Hecarim,LeBlanc,Kaisa,Ahri,12.5,Humanoid,Caps,,,,
