blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Akali,Gwen,Camille,Shen,12.4,Bin,shanji,,,,
Tryndamere,Zeri,Volibear,Graves,12.4,Wei,AKi,,,,
Rumble,Jinx,Ahri,Ryze,12.4,xiaohu,Creme,,,,
Xin Zhao,Alistar,Aphelios,Samira,12.4,GALA,Able,,,,
Hecarim,Sett,Leona,Nautilus,12.4,Ming,cold,,,,
,,,,,,,Royal Never Give Up,OMG,blue_side,red_side
Akali,Gwen,Graves,Kennen,12.4,Bin,shanji,,,,
Tryndamere,Jinx,Xin Zhao,Trundle,12.4,Wei,AKi,,,,
Volibear,Zeri,LeBlanc,Sylas,12.4,xiaohu,Creme,,,,
Rumble,Ryze,Aphelios,Samira,12.4,GALA,Able,,,,
Hecarim,Ahri,Alistar,Nautilus,12.4,Ming,cold,,,,
,,,,,,,Royal Never Give Up,OMG,red_side,blue_side
Akali,Gwen,Gnar,Rumble,12.4,Bin,shanji,,,,
Tryndamere,Jinx,Volibear,Nocturne,12.4,Wei,AKi,,,,
Samira,Ahri,Ryze,LeBlanc,12.4,xiaohu,Creme,,,,
Kennen,Camille,Zeri,Tristana,12.4,GALA,Able,,,,
Trundle,Graves,Leona,Nautilus,12.4,Ming,cold,,,,
,,,,,,,Royal Never Give Up,OMG,blue_side,red_side
Akali,Gwen,Jayce,Graves,12.4,Ale,shanji,,,,
Rumble,Ryze,Trundle,Volibear,12.4,Tarzan,AKi,,,,
Tryndamere,Lee Sin,Ahri,Syndra,12.4,Doinb,Creme,,,,
LeBlanc,Karma,Zeri,Jinx,12.4,Light,Able,,,,
Nautilus,Twisted Fate,Rakan,Renata Glasc,12.4,Iwandy,cold,,,,
,,,,,,,LNG Esports,OMG,blue_side,red_side
Akali,Gwen,Camille,Kennen,12.4,Ale,shanji,,,,
Rumble,Ryze,Volibear,Viego,12.4,Tarzan,AKi,,,,
Tryndamere,Lee Sin,Karma,Ahri,12.4,Doinb,Creme,,,,
Nautilus,Jayce,Zeri,Tristana,12.4,Light,Able,,,,
Graves,Rakan,Alistar,Leona,12.4,Iwandy,cold,,,,
,,,,,,,LNG Esports,OMG,red_side,blue_side
Akali,Gwen,Camille,Tryndamere,12.4,Ale,shanji,,,,
Rumble,Ryze,Lee Sin,Viego,12.4,Tarzan,AKi,,,,
Tristana,Zeri,Karma,Ahri,12.4,Doinb,Creme,,,,
Kennen,Tahm Kench,Jinx,Ezreal,12.4,Light,Able,,,,
Leona,Rakan,Nautilus,Sett,12.4,Iwandy,cold,,,,
,,,,,,,LNG Esports,OMG,blue_side,red_side
Sett,Orianna,Gwen,Gnar,12.4,Rich,Zdz,,,,
LeBlanc,Ahri,Hecarim,Graves,12.4,Karsa,Xiaohao,,,,
Zeri,Thresh,Syndra,Ryze,12.4,RooKie,Forge,,,,
Camille,Tahm Kench,Jinx,Aphelios,12.4,Photic,Betty,,,,
Jayce,Rell,Alistar,Nautilus,12.4,Ppgod,Qiuqiu,,,,
,,,,,,,Victory Five,Anyone s Legend,blue_side,red_side
LeBlanc,Orianna,Gnar,Jayce,12.4,Rich,Zdz,,,,
