blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Vi,Kalista,Fiora,Renekton,12.14,fearness,Breathe,,,,
Poppy,Wukong,Xin Zhao,Viego,12.14,Shad0w,Wei,,,,
Lissandra,Draven,Taliyah,Galio,12.14,YeG,xiaohu,,,,
Jax,Sivir,Twitch,Zeri,12.14,Assum,GALA,,,,
Gnar,Nilah,Yuumi,Lulu,12.14,jinjiao,Ming,,,,
,,,,,,,LGD Gaming,Royal Never Give Up,red_side,blue_side
Kalista,Taliyah,Akali,Gwen,12.14,Breathe,fearness,,,,
Fiora,Poppy,Wukong,Viego,12.14,Wei,Shad0w,,,,
Draven,Galio,Lissandra,Ahri,12.14,xiaohu,YeG,,,,
Yuumi,Kennen,Zeri,Nilah,12.14,GALA,Assum,,,,
Gnar,Irelia,Nautilus,Pyke,12.14,Ming,jinjiao,,,,
,,,,,,,Royal Never Give Up,LGD Gaming,red_side,blue_side
Vi,Kalista,Fiora,Jax,12.14,fearness,Breathe,,,,
Poppy,Wukong,Viego,Xin Zhao,12.14,Shad0w,Wei,,,,
Taliyah,Nilah,Ahri,LeBlanc,12.14,YeG,xiaohu,,,,
Yuumi,Renata Glasc,Draven,Zeri,12.14,Assum,GALA,,,,
Ryze,Pyke,Leona,Nautilus,12.14,jinjiao,Ming,,,,
,,,,,,,LGD Gaming,Royal Never Give Up,blue_side,red_side
Sylas,Taliyah,Gwen,Fiora,12.14,Hery,Demon,,,,
Vi,Zeri,Wukong,Trundle,12.14,H4cker,View,,,,
Kalista,Renata Glasc,Ryze,Lissandra,12.14,Cryin,Shanks,,,,
Azir,LeBlanc,Lucian,Aphelios,12.14,Elk,Xing,,,,
Jax,Galio,Nami,Lulu,12.14,Miaoniu,Kedaya,,,,
,,,,,,,Ultra Prime,Team WE,blue_side,red_side
Taliyah,Aphelios,Gnar,Gangplank,12.14,Demon,Hery,,,,
Poppy,Kalista,Wukong,Lee Sin,12.14,View,H4cker,,,,
Xin Zhao,Zeri,Lissandra,Ahri,12.14,Shanks,Cryin,,,,
LeBlanc,Sylas,Varus,Lucian,12.14,Xing,Elk,,,,
Gwen,Azir,Lulu,Nami,12.14,Kedaya,Miaoniu,,,,
,,,,,,,Team WE,Ultra Prime,red_side,blue_side
Poppy,Kalista,Sejuani,Aatrox,12.14,Zdz,Qingtian,,,,
LeBlanc,Amumu,Wukong,Vi,12.14,Xiaohao,Tian,,,,
Zeri,Gwen,Vex,Sylas,12.14,Harder,Knight,,,,
Ahri,Ryze,Aphelios,Lucian,12.14,Betty,JackeyLove,,,,
Taliyah,Azir,Nautilus,Nami,12.14,Qiuqiu,Mark,,,,
,,,,,,,Anyone s Legend,Top Esports,red_side,blue_side
Kalista,Poppy,Sejuani,Gnar,12.14,Qingtian,Zdz,,,,
Amumu,LeBlanc,Vi,Xin Zhao,12.14,Tian,Xiaohao,,,,
Gwen,Wukong,Akali,Sylas,12.14,Knight,Harder,,,,
Azir,Taliyah,Zeri,Lucian,12.14,JackeyLove,Betty,,,,
Ryze,Ahri,Yuumi,Nami,12.14,Mark,Qiuqiu,,,,
,,,,,,,Top Esports,Anyone s Legend,blue_side,red_side
Lucian,Azir,Sejuani,Aatrox,12.14,Hoya,Cube,,,,
Zeri,Taliyah,Poppy,Nidalee,12.14,Beichuan,Leyan,,,,
Sivir,Kalista,Sylas,Zoe,12.14,Ucal,Strive,,,,
Jax,Braum,Aphelios,Jinx,12.14,Kepler,iBOY,,,,
Renekton,Leona,Alistar,Nautilus,12.14,yaoyao,yuyanjia,,,,
,,,,,,,TT,Rare Atom,blue_side,red_side
Azir,Zeri,Rumble,Sejuani,12.14,Cube,Hoya,,,,
Poppy,Sivir,Pantheon,Vi,12.14,Leyan,Beichuan,,,,
Wukong,Lucian,Sylas,Taliyah,12.14,Strive,Ucal,,,,
Nautilus,Gwen,Kalista,Aphelios,12.14,iBOY,Kepler,,,,
Alistar,Jax,Renata Glasc,Braum,12.14,yuyanjia,yaoyao,,,,
,,,,,,,Rare Atom,TT,blue_side,red_side
Lucian,Azir,Sejuani,Renekton,12.14,Hoya,Cube,,,,
Zeri,Taliyah,Poppy,Nidalee,12.14,Beichuan,Leyan,,,,
Sivir,Kalista,Sylas,Zoe,12.14,Ucal,Strive,,,,
Jax,Braum,Aphelios,Jinx,12.14,Kepler,iBOY,,,,
Gwen,Alistar,Leona,Nautilus,12.14,yaoyao,yuyanjia,,,,
,,,,,,,TT,Rare Atom,red_side,blue_side
Fiora,Kennen,Sejuani,Olaf,12.14,TheShy,Ale,,,,
Lucian,Gwen,Poppy,Trundle,12.14,SofM,Tarzan,,,,
Yuumi,Kalista,Azir,Akali,12.14,Angel,Doinb,,,,
Taliyah,Rakan,Sivir,Zeri,12.14,huanfeng,Light,,,,
