blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Sylas,Yuumi,Kennen,Gnar,12.15,369,Qingtian,,,,
Draven,Renekton,Wukong,Vi,12.15,Kanavi,Tian,,,,
Poppy,Azir,Lissandra,Taliyah,12.15,Yagao,Knight,,,,
Aatrox,Ryze,Zeri,Lucian,12.15,Hope,JackeyLove,,,,
Ahri,Gangplank,Lulu,Nami,12.15,Missing,Mark,,,,
,,,,,,,JD Gaming,Top Esports,blue_side,red_side
Azir,Yuumi,Gnar,Sion,12.15,Wayward,369,,,,
Wukong,Sylas,Poppy,Vi,12.15,Tian,Kanavi,,,,
Renekton,Draven,Ahri,Taliyah,12.15,Knight,Yagao,,,,
Lissandra,Nautilus,Sivir,Zeri,12.15,JackeyLove,Hope,,,,
Aatrox,Amumu,Leona,Lulu,12.15,Mark,Missing,,,,
,,,,,,,Top Esports,JD Gaming,blue_side,red_side
Sylas,Yuumi,Gangplank,Renekton,12.15,369,Wayward,,,,
Draven,Wukong,Vi,Sejuani,12.15,Kanavi,Tian,,,,
Poppy,Azir,Ahri,Swain,12.15,Yagao,Knight,,,,
Lulu,Nautilus,Sivir,Zeri,12.15,Hope,JackeyLove,,,,
Jax,Braum,Renata Glasc,Amumu,12.15,Missing,Mark,,,,
,,,,,,,JD Gaming,Top Esports,blue_side,red_side
Azir,Yuumi,Gnar,Renekton,12.15,Wayward,369,,,,
Wukong,Sylas,Trundle,Pantheon,12.15,Tian,Kanavi,,,,
Vi,Poppy,Lissandra,Ahri,12.15,Knight,Yagao,,,,
Sejuani,Jax,Zeri,Sivir,12.15,JackeyLove,Hope,,,,
Gangplank,Ornn,Renata Glasc,Lulu,12.15,Mark,Missing,,,,
,,,,,,,Top Esports,JD Gaming,blue_side,red_side
Sylas,Yuumi,Aatrox,Sejuani,12.15,369,Wayward,,,,
Poppy,Wukong,Belveth,Trundle,12.15,Kanavi,Tian,,,,
Ahri,Vi,Azir,Viktor,12.15,Yagao,Knight,,,,
