blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Vi,Annie,Olaf,Kennen,13.5,Fudge,Licorice,,,,
Jarvan IV,Jayce,Maokai,Sejuani,13.5,Blaber,River,,,,
Caitlyn,Varus,Orianna,KSante,13.5,EMENES,Gori,,,,
Blitzcrank,Gragas,Aphelios,Zeri,13.5,Berserker,Stixxay,,,,
Lulu,Tristana,Thresh,Rakan,13.5,Zven,Huhi,,,,
,,,,,,,Cloud9,Golden Guardians,blue_side,red_side
Jayce,Vi,Malphite,KSante,13.5,Licorice,Fudge,,,,
Maokai,Annie,Wukong,Sejuani,13.5,River,Blaber,,,,
Elise,Lissandra,Ahri,Akali,13.5,Gori,EMENES,,,,
Renata Glasc,Olaf,Xayah,Zeri,13.5,Stixxay,Berserker,,,,
Sylas,Gwen,Rakan,Lulu,13.5,Huhi,Zven,,,,
,,,,,,,Golden Guardians,Cloud9,blue_side,red_side
Vi,Annie,Renekton,Kennen,13.5,Fudge,Licorice,,,,
Jarvan IV,Jayce,Elise,Lee Sin,13.5,Blaber,River,,,,
Caitlyn,Maokai,LeBlanc,Ahri,13.5,EMENES,Gori,,,,
Lissandra,KSante,Lucian,Zeri,13.5,Berserker,Stixxay,,,,
Malphite,Tristana,Nami,Lulu,13.5,Zven,Huhi,,,,
,,,,,,,Cloud9,Golden Guardians,blue_side,red_side
Jayce,Vi,Malphite,Olaf,13.5,Licorice,Fudge,,,,
Elise,Annie,Wukong,Poppy,13.5,River,Blaber,,,,
Maokai,Caitlyn,Galio,LeBlanc,13.5,Gori,EMENES,,,,
Lee Sin,Lissandra,Lucian,Xayah,13.5,Stixxay,Berserker,,,,
Nocturne,Ahri,Nami,Rakan,13.5,Huhi,Zven,,,,
,,,,,,,Golden Guardians,Cloud9,red_side,blue_side
Caitlyn,Annie,Sion,Fiora,13.5,Impact,Licorice,,,,
Sejuani,Lucian,Maokai,Elise,13.5,Spica,River,,,,
Vi,Lulu,Jayce,KSante,13.5,Vicla,Gori,,,,
Gwen,Rakan,Xayah,Zeri,13.5,Prince,Stixxay,,,,
Olaf,Nautilus,Braum,Leona,13.5,Winsome,Huhi,,,,
,,,,,,,FlyQuest,Golden Guardians,blue_side,red_side
Lulu,Annie,Kennen,Sion,13.5,Licorice,Impact,,,,
Lucian,Caitlyn,Wukong,Vi,13.5,River,Spica,,,,
Maokai,Elise,Lissandra,Taliyah,13.5,Gori,Vicla,,,,
Rakan,Renata Glasc,Zeri,Xayah,13.5,Stixxay,Prince,,,,
Sylas,Soraka,Jarvan IV,Heimerdinger,13.5,Huhi,Winsome,,,,
,,,,,,,Golden Guardians,FlyQuest,blue_side,red_side
Sejuani,Annie,Ornn,Olaf,13.5,Impact,Licorice,,,,
Vi,Lucian,Maokai,Wukong,13.5,Spica,River,,,,
Lissandra,Varus,Jayce,Taliyah,13.5,Vicla,Gori,,,,
Gwen,Blitzcrank,Jinx,Caitlyn,13.5,Prince,Stixxay,,,,
Malphite,KSante,Rakan,Heimerdinger,13.5,Winsome,Huhi,,,,
,,,,,,,FlyQuest,Golden Guardians,blue_side,red_side
Sion,Annie,Malphite,KSante,13.5,Licorice,Impact,,,,
Wukong,Caitlyn,Elise,Gragas,13.5,River,Spica,,,,
Sejuani,Maokai,Tristana,Sylas,13.5,Gori,Vicla,,,,
LeBlanc,Jayce,Xayah,Lucian,13.5,Stixxay,Prince,,,,
Veigar,Yone,Rakan,Nami,13.5,Huhi,Winsome,,,,
,,,,,,,Golden Guardians,FlyQuest,blue_side,red_side
Sejuani,Annie,Sion,Fiora,13.5,Impact,Licorice,,,,
Malphite,Maokai,Elise,Jarvan IV,13.5,Spica,River,,,,
Vi,Wukong,Jayce,Lissandra,13.5,Vicla,Gori,,,,
Gwen,Zeri,Xayah,Lucian,13.5,Prince,Stixxay,,,,
Taliyah,Varus,Rakan,Nami,13.5,Winsome,Huhi,,,,
,,,,,,,FlyQuest,Golden Guardians,red_side,blue_side
Elise,Varus,KSante,Fiora,13.5,ssumday,Licorice,,,,
Sejuani,Thresh,Maokai,Wukong,13.5,Inspired,River,,,,
Vi,Annie,Tristana,Taliyah,13.5,jojopyun,Gori,,,,
Malphite,Blitzcrank,Jinx,Caitlyn,13.5,FBI,Stixxay,,,,
Lux,Kennen,Ashe,Heimerdinger,13.5,Vulcan,Huhi,,,,
,,,,,,,Evil Geniuses,Golden Guardians,red_side,blue_side
Elise,Varus,Sion,Gwen,13.5,ssumday,Licorice,,,,
Caitlyn,Thresh,Vi,Maokai,13.5,Inspired,River,,,,
Wukong,Annie,Ahri,KSante,13.5,jojopyun,Gori,,,,
Lucian,Lulu,Zeri,Tristana,13.5,FBI,Stixxay,,,,
Xayah,Rakan,Nautilus,Rell,13.5,Vulcan,Huhi,,,,
,,,,,,,Evil Geniuses,Golden Guardians,red_side,blue_side
Varus,Caitlyn,Rumble,Malphite,13.5,Licorice,ssumday,,,,
Thresh,Annie,Maokai,Viego,13.5,River,Inspired,,,,
Wukong,Vi,KSante,Lissandra,13.5,Gori,jojopyun,,,,
Sejuani,Sylas,Tristana,Zeri,13.5,Stixxay,FBI,,,,
Lee Sin,Olaf,Amumu,Lulu,13.5,Huhi,Vulcan,,,,
,,,,,,,Golden Guardians,Evil Geniuses,blue_side,red_side
Vi,Annie,KSante,Renekton,13.5,Fudge,Impact,,,,
Ahri,Jayce,Maokai,Wukong,13.5,Blaber,Spica,,,,
Sejuani,Elise,Tristana,Viktor,13.5,EMENES,Vicla,,,,
Sion,Renata Glasc,Varus,Zeri,13.5,Berserker,Prince,,,,
Veigar,Kennen,Heimerdinger,Rakan,13.5,Zven,Eyla,,,,
,,,,,,,Cloud9,FlyQuest,blue_side,red_side
Jayce,Vi,Jax,KSante,13.5,Impact,Fudge,,,,
Heimerdinger,Annie,Sejuani,Maokai,13.5,Spica,Blaber,,,,
Elise,Lucian,Veigar,Orianna,13.5,Vicla,EMENES,,,,
Renata Glasc,Sylas,Zeri,Varus,13.5,Prince,Berserker,,,,
Tristana,Renekton,Rakan,Soraka,13.5,Eyla,Zven,,,,
,,,,,,,FlyQuest,Cloud9,red_side,blue_side
Jayce,Vi,Sion,Renekton,13.5,Impact,Fudge,,,,
Elise,Annie,Maokai,Sejuani,13.5,Spica,Blaber,,,,
Varus,Lucian,Tristana,Sylas,13.5,Vicla,EMENES,,,,
Jax,Caitlyn,Jinx,Aphelios,13.5,Prince,Berserker,,,,
KSante,Zeri,Thresh,Braum,13.5,Eyla,Zven,,,,
,,,,,,,FlyQuest,Cloud9,red_side,blue_side
Thresh,Sejuani,Sion,Malphite,13.5,Dhokla,ssumday,,,,
Varus,Elise,Vi,Wukong,13.5,Contractz,Inspired,,,,
Maokai,Annie,Taliyah,Ahri,13.5,Palafox,jojopyun,,,,
Blitzcrank,Renata Glasc,Jinx,Zeri,13.5,Luger,FBI,,,,
Garen,Gwen,Lulu,Rakan,13.5,Poome,Vulcan,,,,
,,,,,,,CLG,Evil Geniuses,red_side,blue_side
Thresh,Annie,Renekton,Malphite,13.5,Dhokla,ssumday,,,,
Maokai,Sejuani,Vi,Lee Sin,13.5,Contractz,Inspired,,,,
Wukong,Elise,Vex,Ahri,13.5,Palafox,jojopyun,,,,
Poppy,Sion,Zeri,Varus,13.5,Luger,FBI,,,,
Viego,Sylas,Rakan,Ashe,13.5,Poome,Vulcan,,,,
,,,,,,,CLG,Evil Geniuses,red_side,blue_side
Ahri,Annie,Sion,KSante,13.5,Dhokla,ssumday,,,,
Maokai,Sejuani,Gragas,Wukong,13.5,Contractz,Inspired,,,,
Varus,Elise,Jayce,Veigar,13.5,Palafox,jojopyun,,,,
LeBlanc,Vi,Xayah,Aphelios,13.5,Luger,FBI,,,,
Syndra,Malphite,Rakan,Thresh,13.5,Poome,Vulcan,,,,
,,,,,,,CLG,Evil Geniuses,red_side,blue_side
Elise,Rakan,KSante,Renekton,13.5,Tenacity,Licorice,,,,
Veigar,Lee Sin,Wukong,Vi,13.5,Closer,River,,,,
Maokai,Annie,Zilean,Akali,13.5,Bjergsen,Gori,,,,
LeBlanc,Lissandra,Jinx,Zeri,13.5,Doublelift,Stixxay,,,,
Sylas,Sion,Thresh,Lulu,13.5,Busio,Huhi,,,,
,,,,,,,100 Thieves,Golden Guardians,blue_side,red_side
Rakan,Elise,Gwen,Sion,13.5,Licorice,Tenacity,,,,
Lee Sin,Annie,Wukong,Vi,13.5,River,Closer,,,,
Viego,Veigar,Sylas,Viktor,13.5,Gori,Bjergsen,,,,
Ahri,LeBlanc,Lucian,Jinx,13.5,Stixxay,Doublelift,,,,
Taliyah,Akali,Nami,Nautilus,13.5,Huhi,Busio,,,,
,,,,,,,Golden Guardians,100 Thieves,blue_side,red_side
Elise,Rakan,Gragas,KSante,13.5,Tenacity,Licorice,,,,
LeBlanc,Lee Sin,Viego,Xin Zhao,13.5,Closer,River,,,,
Vi,Wukong,Annie,Veigar,13.5,Bjergsen,Gori,,,,
Tahm Kench,Lulu,Zeri,Jinx,13.5,Doublelift,Stixxay,,,,
Renata Glasc,Lissandra,Blitzcrank,Thresh,13.5,Busio,Huhi,,,,
,,,,,,,100 Thieves,Golden Guardians,blue_side,red_side
