blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Ivern,Jax,Gwen,KSante,13.13,Licorice,Fudge,,,,
Xayah,Vi,Rell,Kindred,13.13,River,Blaber,,,,
Tristana,LeBlanc,Jayce,Ahri,13.13,Gori,EMENES,,,,
Rumble,Blitzcrank,Kaisa,Ashe,13.13,Stixxay,Berserker,,,,
Kennen,KhaZix,Nautilus,Milio,13.13,Huhi,Zven,,,,
,,,,,,,Golden Guardians,Cloud9,red_side,blue_side
Azir,LeBlanc,Fiora,KSante,13.13,Rich,ssumday,,,,
Rumble,Ziggs,Maokai,Ivern,13.13,Santorin,Closer,,,,
Rell,Poppy,Jayce,Tristana,13.13,Jensen,Quid,,,,
Xayah,Illaoi,Kaisa,Sivir,13.13,Tomo,Doublelift,,,,
Zeri,Malphite,Blitzcrank,Nautilus,13.13,Poome,Busio,,,,
,,,,,,,Dignitas,100 Thieves,blue_side,red_side
Blitzcrank,Milio,Kennen,Renekton,13.13,Fudge,Impact,,,,
Jayce,Kaisa,Sejuani,Ivern,13.13,Blaber,Spica,,,,
Yone,Rumble,Tristana,Sylas,13.13,EMENES,Vicla,,,,
Malphite,Varus,Xayah,Aphelios,13.13,Berserker,Prince,,,,
Azir,Nilah,Rakan,Rell,13.13,Zven,Vulcan,,,,
,,,,,,,Cloud9,FlyQuest,blue_side,red_side
Poppy,Rumble,Ornn,Renekton,13.13,Summit,Rich,,,,
Jayce,Kennen,Lee Sin,Ivern,13.13,Pyosik,Santorin,,,,
LeBlanc,Rell,Ziggs,Azir,13.13,APA,Jensen,,,,
Rakan,Sejuani,Tristana,Kaisa,13.13,Yeon,Tomo,,,,
Yone,Milio,Nautilus,Alistar,13.13,CoreJJ,Poome,,,,
,,,,,,,Team Liquid,Dignitas,blue_side,red_side
Rell,Viego,KSante,Jax,13.13,ssumday,Licorice,,,,
Tristana,Kaisa,Sejuani,Vi,13.13,Closer,River,,,,
Rumble,LeBlanc,Azir,Ahri,13.13,Quid,Gori,,,,
Taliyah,Poppy,Zeri,Xayah,13.13,Doublelift,Stixxay,,,,
Yone,Varus,Rakan,Leona,13.13,Busio,Huhi,,,,
,,,,,,,100 Thieves,Golden Guardians,red_side,blue_side
LeBlanc,Poppy,KSante,Kennen,13.13,Revenge,Hauntzer,,,,
Renekton,Xayah,Ivern,Sejuani,13.13,Sheiden,Bugi,,,,
Rumble,Rell,Tristana,Jayce,13.13,jojopyun,Insanity,,,,
Jinx,Alistar,Kaisa,Zeri,13.13,UNF0RGIVEN,WildTurtle,,,,
Jax,Nautilus,Amumu,Rakan,13.13,Eyla,Chime,,,,
,,,,,,,Evil Geniuses,TSM,blue_side,red_side
Jayce,Kindred,Rumble,Yone,13.13,solo,Dhokla,,,,
LeBlanc,Neeko,Rell,Sejuani,13.13,Kenvi,Contractz,,,,
Tristana,Kaisa,Azir,Ahri,13.13,Bolulu,Palafox,,,,
Xayah,Poppy,Kalista,Ashe,13.13,Tactical,FBI,,,,
