blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Vi,Jax,Renekton,Ornn,13.13,Ale,TheShy,,,,
Azir,Maokai,Sejuani,Poppy,13.13,Jiejie,WeiWei,,,,
LeBlanc,Xayah,Tristana,Jayce,13.13,FoFo,xiaohu,,,,
Rumble,Milio,Zeri,Kaisa,13.13,Uzi,Light,,,,
Rakan,Alistar,Braum,Rell,13.13,meiko,Crisp,,,,
,,,,,,,Edward Gaming,Weibo Gaming,red_side,blue_side
Vi,Jax,Ornn,Renekton,13.13,Ale,TheShy,,,,
Poppy,Maokai,Rell,Sejuani,13.13,Jiejie,WeiWei,,,,
Tristana,LeBlanc,Jayce,Azir,13.13,FoFo,xiaohu,,,,
KSante,Milio,Xayah,Kaisa,13.13,Uzi,Light,,,,
Rakan,Nautilus,Alistar,Leona,13.13,meiko,Crisp,,,,
,,,,,,,Edward Gaming,Weibo Gaming,blue_side,red_side
Jax,Tristana,Ornn,Renekton,13.13,TheShy,Ale,,,,
Maokai,LeBlanc,Rell,Sejuani,13.13,WeiWei,Jiejie,,,,
Xayah,Kaisa,Azir,Jayce,13.13,xiaohu,FoFo,,,,
Nautilus,Vi,Aphelios,Lucian,13.13,Light,Uzi,,,,
Blitzcrank,Samira,Milio,Rakan,13.13,Crisp,meiko,,,,
,,,,,,,Weibo Gaming,Edward Gaming,blue_side,red_side
Rell,Jax,Fiora,KSante,13.13,Ale,TheShy,,,,
Renekton,Maokai,Sejuani,Poppy,13.13,Jiejie,WeiWei,,,,
Tristana,Xayah,LeBlanc,Jayce,13.13,FoFo,xiaohu,,,,
Rumble,Zeri,Varus,Kaisa,13.13,Uzi,Light,,,,
Kennen,Sivir,Nautilus,Rakan,13.13,meiko,Crisp,,,,
,,,,,,,Edward Gaming,Weibo Gaming,red_side,blue_side
Vi,LeBlanc,KSante,Renekton,13.13,Wayward,TheShy,,,,
Ivern,Kaisa,Maokai,Lillia,13.13,Tian,WeiWei,,,,
Xayah,Jax,Jayce,Tristana,13.13,RooKie,xiaohu,,,,
Varus,Ziggs,Draven,Aphelios,13.13,JackeyLove,Light,,,,
Rell,Alistar,Nautilus,Braum,13.13,Mark,Crisp,,,,
,,,,,,,Top Esports,Weibo Gaming,blue_side,red_side
LeBlanc,Vi,Rumble,Kennen,13.13,TheShy,Wayward,,,,
Maokai,Ivern,Rell,Sejuani,13.13,WeiWei,Tian,,,,
KSante,Kaisa,Azir,Jayce,13.13,xiaohu,RooKie,,,,
Rakan,Braum,Zeri,Xayah,13.13,Light,JackeyLove,,,,
Jax,Renekton,Leona,Nautilus,13.13,Crisp,Mark,,,,
,,,,,,,Weibo Gaming,Top Esports,blue_side,red_side
Vi,LeBlanc,Ornn,Renekton,13.13,Wayward,TheShy,,,,
Ivern,Maokai,Poppy,Sejuani,13.13,Tian,WeiWei,,,,
Azir,KSante,Jayce,Ahri,13.13,RooKie,xiaohu,,,,
Neeko,Nautilus,Kaisa,Xayah,13.13,JackeyLove,Light,,,,
Tristana,Jax,Rell,Rakan,13.13,Mark,Crisp,,,,
,,,,,,,Top Esports,Weibo Gaming,blue_side,red_side
Maokai,Rell,Ornn,Poppy,13.13,TheShy,Wayward,,,,
LeBlanc,Vi,Ivern,Sejuani,13.13,WeiWei,Tian,,,,
KSante,Azir,Tristana,Jayce,13.13,xiaohu,RooKie,,,,
Jax,Nautilus,Kaisa,Xayah,13.13,Light,JackeyLove,,,,
Ahri,Rumble,Leona,Rakan,13.13,Crisp,Mark,,,,
,,,,,,,Weibo Gaming,Top Esports,blue_side,red_side
Vi,Kaisa,KSante,Gwen,13.13,Wayward,TheShy,,,,
Ivern,LeBlanc,Skarner,Sejuani,13.13,Tian,WeiWei,,,,
Rell,Maokai,Azir,Tristana,13.13,RooKie,xiaohu,,,,
Rumble,Nautilus,Xayah,Zeri,13.13,JackeyLove,Light,,,,
Ornn,Poppy,Milio,Rakan,13.13,Mark,Crisp,,,,
,,,,,,,Top Esports,Weibo Gaming,red_side,blue_side
Xayah,LeBlanc,KSante,Kennen,13.13,Zika,Ale,,,,
Jax,Renekton,Rell,Ivern,13.13,Tarzan,Jiejie,,,,
Maokai,Jayce,Azir,Tristana,13.13,Scout,FoFo,,,,
Varus,Nautilus,Kaisa,Zeri,13.13,GALA,Uzi,,,,
Poppy,Sejuani,Rakan,Alistar,13.13,Hang,meiko,,,,
,,,,,,,LNG Esports,Edward Gaming,blue_side,red_side
LeBlanc,Jayce,Jax,Renekton,13.13,Ale,Zika,,,,
Rakan,Maokai,Rell,Sejuani,13.13,Jiejie,Tarzan,,,,
