blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Jarvan IV,Neeko,Aatrox,Yone,13.19,TheShy,Zeus,,,,
Azir,Orianna,Maokai,Lee Sin,13.19,WeiWei,Oner,,,,
Sylas,Rumble,Jayce,Ahri,13.19,xiaohu,Faker,,,,
Sejuani,Ashe,Tahm Kench,Kalista,13.19,Crisp,Gumayusi,,,,
Rell,Varus,Senna,Renata Glasc,13.19,Light,Keria,,,,
,,,,,,,Weibo Gaming,T1,red_side,blue_side
Azir,Neeko,Aatrox,Gwen,13.19,TheShy,Zeus,,,,
Jarvan IV,Orianna,Maokai,Nocturne,13.19,WeiWei,Oner,,,,
Ashe,Rumble,Ahri,Sylas,13.19,xiaohu,Faker,,,,
Poppy,Jayce,Kalista,Draven,13.19,Light,Gumayusi,,,,
Yone,KSante,Senna,Renata Glasc,13.19,Crisp,Keria,,,,
,,,,,,,Weibo Gaming,T1,red_side,blue_side
Jarvan IV,Neeko,Kennen,Aatrox,13.19,TheShy,Zeus,,,,
Ashe,Rumble,Belveth,Lee Sin,13.19,WeiWei,Oner,,,,
Renata Glasc,Orianna,Azir,Akali,13.19,xiaohu,Faker,,,,
Wukong,Poppy,Varus,Xayah,13.19,Light,Gumayusi,,,,
Jayce,KSante,Bard,Rakan,13.19,Crisp,Keria,,,,
,,,,,,,Weibo Gaming,T1,red_side,blue_side
Rakan,Ashe,Aatrox,Rumble,13.19,Zeus,369,,,,
Neeko,Poppy,Rell,Vi,13.19,Oner,Kanavi,,,,
Jarvan IV,Kalista,Orianna,Akali,13.19,Faker,Knight,,,,
Nautilus,Senna,Jhin,Xayah,13.19,Gumayusi,Ruler,,,,
Renata Glasc,Caitlyn,Bard,Alistar,13.19,Keria,Missing,,,,
,,,,,,,T1,JD Gaming,blue_side,red_side
Rumble,Rakan,KSante,Aatrox,13.19,369,Zeus,,,,
Poppy,Neeko,Vi,Maokai,13.19,Kanavi,Oner,,,,
Akali,Jarvan IV,Orianna,Azir,13.19,Knight,Faker,,,,
Gwen,Nautilus,Kalista,Caitlyn,13.19,Ruler,Gumayusi,,,,
Rell,Blitzcrank,Senna,Ashe,13.19,Missing,Keria,,,,
,,,,,,,JD Gaming,T1,blue_side,red_side
Rakan,Rumble,Aatrox,Renekton,13.19,Zeus,369,,,,
Neeko,Orianna,Rell,Wukong,13.19,Oner,Kanavi,,,,
Jarvan IV,Poppy,Azir,Taliyah,13.19,Faker,Knight,,,,
Akali,Pyke,Kalista,Varus,13.19,Gumayusi,Ruler,,,,
KSante,Bard,Renata Glasc,Ashe,13.19,Keria,Missing,,,,
,,,,,,,T1,JD Gaming,blue_side,red_side
Rumble,Rakan,Aatrox,Yone,13.19,369,Zeus,,,,
Poppy,Neeko,Belveth,Jarvan IV,13.19,Kanavi,Oner,,,,
Rell,Kalista,Orianna,Azir,13.19,Knight,Faker,,,,
Ashe,Kaisa,Zeri,Varus,13.19,Ruler,Gumayusi,,,,
Renata Glasc,Xayah,Lulu,Bard,13.19,Missing,Keria,,,,
,,,,,,,JD Gaming,T1,red_side,blue_side
Jax,Orianna,Rumble,Aatrox,13.19,TheShy,Bin,,,,
Jarvan IV,Kalista,Belveth,Vi,13.19,WeiWei,XUN,,,,
Rakan,Caitlyn,Neeko,Syndra,13.19,xiaohu,Yagao,,,,
Nautilus,Renata Glasc,Aphelios,Xayah,13.19,Light,Elk,,,,
Blitzcrank,Wukong,Milio,Rell,13.19,Crisp,ON,,,,
,,,,,,,Weibo Gaming,Bilibili Gaming,blue_side,red_side
Rumble,Jarvan IV,Jax,Aatrox,13.19,Bin,TheShy,,,,
Belveth,Neeko,Vi,Maokai,13.19,XUN,WeiWei,,,,
Renata Glasc,Orianna,Sylas,Azir,13.19,Yagao,xiaohu,,,,
Jayce,Rell,Varus,Caitlyn,13.19,Elk,Light,,,,
KSante,Sejuani,Ashe,Lux,13.19,ON,Crisp,,,,
,,,,,,,Bilibili Gaming,Weibo Gaming,blue_side,red_side
Jax,Rumble,Graves,Aatrox,13.19,TheShy,Bin,,,,
Jarvan IV,Orianna,Poppy,Vi,13.19,WeiWei,XUN,,,,
Rakan,Neeko,Syndra,Akali,13.19,xiaohu,Yagao,,,,
Sylas,Taliyah,Varus,Kalista,13.19,Light,Elk,,,,
Ahri,Azir,Ashe,Caitlyn,13.19,Crisp,ON,,,,
,,,,,,,Weibo Gaming,Bilibili Gaming,blue_side,red_side
Rumble,Neeko,Jax,Quinn,13.19,Bin,TheShy,,,,
Poppy,Jarvan IV,Sejuani,Rell,13.19,XUN,WeiWei,,,,
Belveth,Vi,Orianna,Syndra,13.19,Yagao,xiaohu,,,,
Caitlyn,Tahm Kench,Aphelios,Ashe,13.19,Elk,Light,,,,
Kalista,Rakan,Bard,Heimerdinger,13.19,ON,Crisp,,,,
,,,,,,,Bilibili Gaming,Weibo Gaming,blue_side,red_side
Jax,Rumble,Ornn,KSante,13.19,TheShy,Bin,,,,
Jarvan IV,Orianna,Maokai,Sejuani,13.19,WeiWei,XUN,,,,
