blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Vi,Kalista,Aatrox,Gnar,14.5,Dhokla,Rich,,,,
Taliyah,Senna,Lillia,Rell,14.5,Contractz,eXyu,,,,
Tristana,Varus,Hwei,Orianna,14.5,Palafox,Dove,,,,
Jayce,Sejuani,Smolder,Jinx,14.5,FBI,Tomo,,,,
Nocturne,Jarvan IV,Nautilus,Tahm Kench,14.5,Huhi,Isles,,,,
,,,,,,,NRG,Dignitas,red_side,blue_side
Taliyah,Orianna,Udyr,Twisted Fate,14.5,Bwipo,Rich,,,,
Smolder,Kalista,Graves,Viego,14.5,Inspired,eXyu,,,,
Vi,Ashe,Hwei,Ahri,14.5,Jensen,Dove,,,,
Gnar,Renekton,Senna,Varus,14.5,Massu,Tomo,,,,
Darius,Olaf,Tahm Kench,Nautilus,14.5,Busio,Isles,,,,
,,,,,,,FlyQuest,Dignitas,blue_side,red_side
Smolder,Nidalee,Renekton,Udyr,14.5,Fudge,FakeGod,,,,
Varus,Kalista,Kindred,Ivern,14.5,Blaber,Bugi,,,,
Taliyah,Senna,Neeko,Tristana,14.5,jojopyun,Insanity,,,,
Aatrox,Ahri,Lucian,Kaisa,14.5,Berserker,Bvoy,,,,
Hwei,Sejuani,Nami,Nautilus,14.5,Vulcan,Zeyzal,,,,
,,,,,,,Cloud9,Shopify Rebellion,blue_side,red_side
Jayce,Kalista,Renekton,Olaf,14.5,Dhokla,Sniper,,,,
Taliyah,Senna,Ivern,Shaco,14.5,Contractz,River,,,,
Vi,Lucian,Corki,Veigar,14.5,Palafox,Quid,,,,
Karma,Orianna,Varus,Smolder,14.5,FBI,Meech,,,,
Ahri,Hwei,Nautilus,Alistar,14.5,Huhi,Eyla,,,,
,,,,,,,NRG,100 Thieves,red_side,blue_side
Aurelion Sol,Jayce,Gragas,Renekton,14.5,Castle,Impact,,,,
Nautilus,Kalista,Vi,Volibear,14.5,Armao,UmTi,,,,
Varus,Ivern,Ahri,Ziggs,14.5,Mask,APA,,,,
Poppy,Rell,Kaisa,Smolder,14.5,Tactical,Yeon,,,,
Sejuani,Aatrox,Rakan,Tahm Kench,14.5,Olleh,CoreJJ,,,,
,,,,,,,Immortals,Team Liquid,red_side,blue_side
Smolder,Ivern,Renekton,Jayce,14.5,FakeGod,Sniper,,,,
Vi,Senna,Volibear,Taliyah,14.5,Bugi,River,,,,
Kalista,Varus,Karma,Yone,14.5,Insanity,Quid,,,,
Xayah,Wukong,Kaisa,Tristana,14.5,Bvoy,Meech,,,,
Trundle,Xin Zhao,Leona,Nautilus,14.5,Zeyzal,Eyla,,,,
,,,,,,,Shopify Rebellion,100 Thieves,red_side,blue_side
Vi,Udyr,KSante,Gnar,14.5,Impact,Rich,,,,
Senna,Kalista,Wukong,Rell,14.5,UmTi,eXyu,,,,
Smolder,Varus,Taliyah,Ahri,14.5,APA,Dove,,,,
Sejuani,Renekton,Aphelios,Xayah,14.5,Yeon,Tomo,,,,
Aatrox,Rumble,Nautilus,Rakan,14.5,CoreJJ,Isles,,,,
,,,,,,,Team Liquid,Dignitas,red_side,blue_side
Jayce,Orianna,Renekton,Rumble,14.5,Bwipo,Dhokla,,,,
Vi,Olaf,Poppy,Lee Sin,14.5,Inspired,Contractz,,,,
Wukong,Karma,Taliyah,Ahri,14.5,Jensen,Palafox,,,,
Volibear,Sejuani,Kalista,Senna,14.5,Massu,FBI,,,,
Darius,Xin Zhao,Renata Glasc,Nautilus,14.5,Busio,Huhi,,,,
,,,,,,,FlyQuest,NRG,blue_side,red_side
Nautilus,Ivern,Jayce,Aatrox,14.5,Castle,Fudge,,,,
Lucian,Kalista,Vi,Lee Sin,14.5,Armao,Blaber,,,,
Varus,Volibear,Taliyah,Akali,14.5,Mask,jojopyun,,,,
Malphite,Leona,Ziggs,Senna,14.5,Tactical,Berserker,,,,
Ahri,Orianna,Bard,Ornn,14.5,Olleh,Vulcan,,,,
,,,,,,,Immortals,Cloud9,blue_side,red_side
Vi,Kalista,Aatrox,Renekton,14.5,Dhokla,FakeGod,,,,
Volibear,Ivern,Sejuani,Xin Zhao,14.5,Contractz,Bugi,,,,
Karma,Ashe,Neeko,Taliyah,14.5,Palafox,Insanity,,,,
Sion,Jayce,Senna,Varus,14.5,FBI,Bvoy,,,,
Ahri,Rumble,Wukong,Nautilus,14.5,Huhi,Zeyzal,,,,
,,,,,,,NRG,Shopify Rebellion,red_side,blue_side
Ivern,Senna,Aatrox,Jax,14.5,Sniper,Castle,,,,
Orianna,Renekton,Vi,Volibear,14.5,River,Armao,,,,
Kalista,Varus,Ahri,Taliyah,14.5,Quid,Mask,,,,
Nautilus,Lucian,Kaisa,Zeri,14.5,Meech,Tactical,,,,
Xayah,Smolder,Rell,Rakan,14.5,Eyla,Olleh,,,,
,,,,,,,100 Thieves,Immortals,blue_side,red_side
Orianna,Vi,Renekton,Jayce,14.5,Impact,Bwipo,,,,
Senna,Jax,Volibear,Xin Zhao,14.5,UmTi,Inspired,,,,
Varus,Kalista,Aurelion Sol,Karma,14.5,APA,Jensen,,,,
Kaisa,Tristana,Smolder,Sivir,14.5,Yeon,Massu,,,,
Olaf,Taliyah,Nautilus,Rakan,14.5,CoreJJ,Busio,,,,
,,,,,,,Team Liquid,FlyQuest,blue_side,red_side
Kalista,Varus,Renekton,Udyr,14.5,Rich,Fudge,,,,
Senna,Smolder,Sejuani,Xin Zhao,14.5,eXyu,Blaber,,,,
Caitlyn,Vi,Karma,Yone,14.5,Dove,jojopyun,,,,
Orianna,Volibear,Sivir,Lucian,14.5,Tomo,Berserker,,,,
Taliyah,Jax,Milio,Nami,14.5,Isles,Vulcan,,,,
,,,,,,,Dignitas,Cloud9,red_side,blue_side
Renekton,Azir,Gnar,Jayce,14.4,Rich,FakeGod,,,,
Twisted Fate,Kalista,Sejuani,Volibear,14.4,eXyu,Bugi,,,,
Senna,Varus,Taliyah,Hwei,14.4,Dove,Insanity,,,,
Orianna,Vi,Smolder,Lucian,14.4,Tomo,Bvoy,,,,
Udyr,Poppy,Nautilus,Nami,14.4,Isles,Zeyzal,,,,
,,,,,,,Dignitas,Shopify Rebellion,blue_side,red_side
Nidalee,Volibear,Jax,Jayce,14.4,Impact,Fudge,,,,
Varus,Kalista,Lee Sin,Ivern,14.4,UmTi,Blaber,,,,
Twisted Fate,Ziggs,Taliyah,Azir,14.4,APA,jojopyun,,,,
Rumble,Vi,Senna,Smolder,14.4,Yeon,Berserker,,,,
Sejuani,Renekton,Tahm Kench,Nautilus,14.4,CoreJJ,Vulcan,,,,
,,,,,,,Team Liquid,Cloud9,red_side,blue_side
Twisted Fate,Orianna,Renekton,Vayne,14.4,Castle,Dhokla,,,,
Jayce,Ivern,Volibear,Poppy,14.4,Armao,Contractz,,,,
Senna,Hwei,Azir,Taliyah,14.4,Mask,Palafox,,,,
Vi,Renata Glasc,Kalista,Varus,14.4,Tactical,FBI,,,,
Rumble,Ashe,Thresh,Nautilus,14.4,Olleh,Huhi,,,,
,,,,,,,Immortals,NRG,red_side,blue_side
Taliyah,Twisted Fate,Olaf,Renekton,14.4,Bwipo,Sniper,,,,
Vi,Senna,Sejuani,Trundle,14.4,Inspired,River,,,,
Varus,Kalista,Orianna,Karma,14.4,Jensen,Quid,,,,
Volibear,Nocturne,Ezreal,Kaisa,14.4,Massu,Meech,,,,
Xin Zhao,Jayce,Ashe,Nautilus,14.4,Busio,Eyla,,,,
,,,,,,,FlyQuest,100 Thieves,blue_side,red_side
Orianna,Varus,Aatrox,Gnar,14.4,FakeGod,Castle,,,,
Kalista,Taliyah,Ivern,Volibear,14.4,Bugi,Armao,,,,
Jayce,Twisted Fate,Hwei,Azir,14.4,Insanity,Mask,,,,
Leona,Renekton,Senna,Smolder,14.4,Bvoy,Tactical,,,,
Braum,Udyr,Nautilus,Maokai,14.4,Zeyzal,Olleh,,,,
,,,,,,,Shopify Rebellion,Immortals,blue_side,red_side
Kalista,Ivern,Aatrox,KSante,14.4,Dhokla,Impact,,,,
Ashe,Orianna,Volibear,Poppy,14.4,Contractz,UmTi,,,,
Twisted Fate,Taliyah,Ahri,Azir,14.4,Palafox,APA,,,,
Jax,Hwei,Senna,Seraphine,14.4,FBI,Yeon,,,,
Renekton,Akali,Nautilus,Rell,14.4,Huhi,CoreJJ,,,,
,,,,,,,NRG,Team Liquid,blue_side,red_side
Ivern,Twisted Fate,Renekton,KSante,14.4,Sniper,Rich,,,,
Ashe,Varus,Trundle,Lee Sin,14.4,River,eXyu,,,,
Kalista,Vi,Hwei,Taliyah,14.4,Quid,Dove,,,,
Volibear,Azir,Senna,Smolder,14.4,Meech,Tomo,,,,
Jayce,Orianna,Tahm Kench,Nautilus,14.4,Eyla,Isles,,,,
,,,,,,,100 Thieves,Dignitas,blue_side,red_side
Orianna,Twisted Fate,Renekton,Aatrox,14.4,Fudge,Bwipo,,,,
Volibear,Ahri,Nidalee,Maokai,14.4,Blaber,Inspired,,,,
Kalista,Akali,Azir,Karma,14.4,jojopyun,Jensen,,,,
Xin Zhao,Lee Sin,Senna,Varus,14.4,Berserker,Massu,,,,
Jayce,Jarvan IV,Nautilus,Ashe,14.4,Vulcan,Busio,,,,
,,,,,,,Cloud9,FlyQuest,blue_side,red_side
Senna,Vi,KSante,Zac,14.3,Rich,Dhokla,,,,
Kalista,Karma,Ivern,Nocturne,14.3,eXyu,Contractz,,,,
Varus,Rakan,Tristana,Orianna,14.3,Dove,Palafox,,,,
Rell,Udyr,Xayah,Smolder,14.3,Tomo,FBI,,,,
Malphite,Kaisa,Nautilus,Leona,14.3,Isles,Huhi,,,,
,,,,,,,Dignitas,NRG,blue_side,red_side
Udyr,Senna,Aatrox,Olaf,14.3,Sniper,Fudge,,,,
Orianna,KSante,Vi,Sejuani,14.3,River,Blaber,,,,
Kalista,Poppy,Taliyah,Akali,14.3,Quid,jojopyun,,,,
Lulu,Riven,Varus,Zeri,14.3,Meech,Berserker,,,,
Rakan,Gwen,Milio,Bard,14.3,Eyla,Vulcan,,,,
,,,,,,,100 Thieves,Cloud9,blue_side,red_side
Ivern,Karma,Udyr,KSante,14.3,Bwipo,Castle,,,,
Varus,Orianna,Viego,Vi,14.3,Inspired,Armao,,,,
Senna,Olaf,Azir,Taliyah,14.3,Jensen,Mask,,,,
Aatrox,Darius,Kalista,Twisted Fate,14.3,Massu,Tactical,,,,
Gnar,Sejuani,Renata Glasc,Maokai,14.3,Busio,Olleh,,,,
,,,,,,,FlyQuest,Immortals,blue_side,red_side
Varus,Kalista,Rumble,Aatrox,14.3,Impact,FakeGod,,,,
Wukong,Ziggs,Xin Zhao,Vi,14.3,UmTi,Bugi,,,,
Sion,Udyr,Aurelion Sol,Orianna,14.3,APA,Insanity,,,,
Zeri,Ashe,Senna,Xayah,14.3,Yeon,Bvoy,,,,
Ezreal,Tahm Kench,Nautilus,Rakan,14.3,CoreJJ,Zeyzal,,,,
,,,,,,,Team Liquid,Shopify Rebellion,blue_side,red_side
Vi,Orianna,Aatrox,Yone,14.3,Castle,Rich,,,,
Senna,Kalista,Ivern,Rell,14.3,Armao,eXyu,,,,
Renata Glasc,Varus,Hwei,Sylas,14.3,Mask,Dove,,,,
Taliyah,Nautilus,Zeri,Smolder,14.3,Tactical,Tomo,,,,
Sejuani,Maokai,Leona,Rakan,14.3,Olleh,Isles,,,,
,,,,,,,Immortals,Dignitas,red_side,blue_side
Tristana,Ivern,Udyr,KSante,14.3,Dhokla,Fudge,,,,
Orianna,Ashe,Vi,Sejuani,14.3,Contractz,Blaber,,,,
Darius,Twisted Fate,Taliyah,Azir,14.3,Palafox,jojopyun,,,,
Karma,Hwei,Senna,Varus,14.3,FBI,Berserker,,,,
Milio,Akali,Tahm Kench,Bard,14.3,Huhi,Vulcan,,,,
,,,,,,,NRG,Cloud9,red_side,blue_side
Udyr,Senna,Aatrox,KSante,14.3,Sniper,Impact,,,,
Smolder,Renata Glasc,Vi,Sejuani,14.3,River,UmTi,,,,
Ziggs,Yone,Taliyah,Orianna,14.3,Quid,APA,,,,
Nocturne,Olaf,Varus,Kalista,14.3,Meech,Yeon,,,,
Ashe,Gwen,Alistar,Taric,14.3,Eyla,CoreJJ,,,,
,,,,,,,100 Thieves,Team Liquid,blue_side,red_side
Ashe,Udyr,Aatrox,KSante,14.3,FakeGod,Bwipo,,,,
Kalista,Maokai,Wukong,Vi,14.3,Bugi,Inspired,,,,
Karma,Varus,Orianna,Azir,14.3,Insanity,Jensen,,,,
Olaf,Nocturne,Xayah,Smolder,14.3,Bvoy,Massu,,,,
Renata Glasc,Poppy,Rakan,Blitzcrank,14.3,Zeyzal,Busio,,,,
,,,,,,,Shopify Rebellion,FlyQuest,blue_side,red_side
Karma,Ashe,KSante,Aatrox,14.2,Dhokla,Castle,,,,
Kalista,Senna,Viego,Nocturne,14.2,Contractz,Armao,,,,
Udyr,Ivern,LeBlanc,Orianna,14.2,Palafox,Mask,,,,
Zac,Lillia,Jhin,Varus,14.2,FBI,Tactical,,,,
Rakan,Vi,Maokai,Leona,14.2,Huhi,Olleh,,,,
,,,,,,,NRG,Immortals,red_side,blue_side
Azir,Udyr,KSante,Olaf,14.2,FakeGod,Sniper,,,,
Orianna,Kalista,Brand,Lillia,14.2,Bugi,River,,,,
Varus,Karma,Sion,Aatrox,14.2,Insanity,Quid,,,,
Gwen,Rakan,Ezreal,Senna,14.2,Bvoy,Meech,,,,
Yone,Milio,Nautilus,Tahm Kench,14.2,Zeyzal,Eyla,,,,
,,,,,,,Shopify Rebellion,100 Thieves,red_side,blue_side
Nocturne,Karma,Udyr,Gnar,14.2,Impact,Fudge,,,,
Senna,Ashe,Lee Sin,Lillia,14.2,UmTi,Blaber,,,,
Varus,Kalista,Ziggs,Orianna,14.2,APA,jojopyun,,,,
Jarvan IV,Vi,Aphelios,Lucian,14.2,Yeon,Berserker,,,,
Xin Zhao,Tristana,Lulu,Milio,14.2,CoreJJ,Vulcan,,,,
,,,,,,,Team Liquid,Cloud9,blue_side,red_side
Orianna,Vi,Aatrox,Gragas,14.2,Rich,Bwipo,,,,
Karma,KSante,Viego,Maokai,14.2,eXyu,Inspired,,,,
Kalista,Varus,Syndra,Tristana,14.2,Dove,Jensen,,,,
Milio,Gnar,Senna,Aphelios,14.2,Tomo,Massu,,,,
Xayah,Azir,Tahm Kench,Bard,14.2,Isles,Busio,,,,
,,,,,,,Dignitas,FlyQuest,red_side,blue_side
Brand,Azir,KSante,Udyr,14.2,Dhokla,FakeGod,,,,
Lillia,Orianna,Nocturne,Taliyah,14.2,Contractz,Bugi,,,,
Karma,Ivern,Neeko,Sion,14.2,Palafox,Insanity,,,,
Poppy,Corki,Kalista,Varus,14.2,FBI,Bvoy,,,,
Tristana,Twisted Fate,Ashe,Nautilus,14.2,Huhi,Zeyzal,,,,
,,,,,,,NRG,Shopify Rebellion,red_side,blue_side
