blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Rell,Senna,KSante,Gnar,14.5,Finn,Irrelevant,,,,
Vi,Orianna,Xin Zhao,Maokai,14.5,Markoon,Isma,,,,
Varus,Kalista,Karma,Jayce,14.5,Larssen,Nisqy,,,,
Rakan,Gragas,Smolder,Kaisa,14.5,Comp,3XA,,,,
Renekton,Alistar,Nautilus,Camille,14.5,Zoelys,Doss,,,,
,,,,,,,Rogue,SK Gaming,red_side,blue_side
Varus,Kalista,Jayce,Olaf,14.5,Cabochard,Adam,,,,
Orianna,Karma,Vi,Lee Sin,14.5,Bo,Sheo,,,,
Xin Zhao,Rumble,Taliyah,Neeko,14.5,Saken,nuc,,,,
Volibear,Renekton,Smolder,Zeri,14.5,Upset,Ice,,,,
Malphite,Rakan,Braum,Rell,14.5,Targamas,Labrov,,,,
,,,,,,,Karmine Corp,Team BDS,red_side,blue_side
Senna,Draven,Zac,Jayce,14.5,Brokenblade,Photon,,,,
Vi,Neeko,Viego,Rell,14.5,Yike,Daglas,,,,
Varus,Renata Glasc,Ahri,Orianna,14.5,Caps,Vetheo,,,,
Twisted Fate,Gragas,Kalista,Xayah,14.5,Hans Sama,Carzzy,,,,
Braum,Nautilus,Leona,Rakan,14.5,Mikyx,Hylissang,,,,
,,,,,,,G2 Esports,Team Vitality,red_side,blue_side
Neeko,Orianna,KSante,Udyr,14.5,Oscarinin,Myrwn,,,,
Smolder,Kalista,Volibear,Rell,14.5,Razork,Elyoya,,,,
Varus,Vi,Taliyah,Ahri,14.5,Humanoid,Fresskowy,,,,
Twisted Fate,RekSai,Kaisa,Zeri,14.5,Noah,Supa,,,,
Xin Zhao,Nautilus,Leona,Renata Glasc,14.5,Jun,Alvaro,,,,
,,,,,,,Fnatic,MAD Lions KOI,red_side,blue_side
Rell,Senna,Gragas,KSante,14.5,Finn,Irrelevant,,,,
Vi,Orianna,Viego,Xin Zhao,14.5,Markoon,Isma,,,,
Varus,Volibear,Karma,Hwei,14.5,Larssen,Nisqy,,,,
Taliyah,Jarvan IV,Kalista,Draven,14.5,Comp,3XA,,,,
Gnar,Jax,Blitzcrank,Renata Glasc,14.5,Zoelys,Doss,,,,
,,,,,,,Rogue,SK Gaming,blue_side,red_side
Rumble,Orianna,RekSai,Jayce,14.5,Wunder,Odoamne,,,,
Kalista,Neeko,Vi,Rell,14.5,Jankos,Peach,,,,
Ashe,Taliyah,Annie,Karma,14.5,Zwyroo,Jackies,,,,
Twisted Fate,Gragas,Zeri,Varus,14.5,Flakked,Patrik,,,,
No ban,Aatrox,Nautilus,Rakan,14.5,Trymbi,IgNar,,,,
,,,,,,,Team Heretics,GIANTX,red_side,blue_side
Draven,Vi,Olaf,Gnar,14.5,Cabochard,Wunder,,,,
Volibear,Smolder,Jarvan IV,Sejuani,14.5,Bo,Jankos,,,,
Varus,Kalista,Karma,Orianna,14.5,Saken,Zwyroo,,,,
Rell,Renekton,Zeri,Yasuo,14.5,Upset,Flakked,,,,
Gragas,KSante,Rakan,Senna,14.5,Targamas,Trymbi,,,,
,,,,,,,Karmine Corp,Team Heretics,red_side,blue_side
Draven,Vi,Aatrox,RekSai,14.5,Finn,Brokenblade,,,,
Varus,Jarvan IV,Volibear,Ivern,14.5,Markoon,Yike,,,,
Taliyah,Kalista,Orianna,Karma,14.5,Larssen,Caps,,,,
Braum,Kled,Senna,Smolder,14.5,Comp,Hans Sama,,,,
Jax,Lee Sin,Nautilus,Rell,14.5,Zoelys,Mikyx,,,,
,,,,,,,Rogue,G2 Esports,blue_side,red_side
Senna,Orianna,Renekton,Neeko,14.5,Adam,Myrwn,,,,
Vi,Ashe,Volibear,Xin Zhao,14.5,Sheo,Elyoya,,,,
Varus,Karma,Ahri,Annie,14.5,nuc,Fresskowy,,,,
Twisted Fate,Jax,Kalista,Smolder,14.5,Ice,Supa,,,,
Jayce,Olaf,Renata Glasc,Braum,14.5,Labrov,Alvaro,,,,
,,,,,,,Team BDS,MAD Lions KOI,red_side,blue_side
Rumble,Twisted Fate,KSante,Gnar,14.5,Photon,Odoamne,,,,
Xayah,Senna,Vi,Rell,14.5,Daglas,Peach,,,,
Ashe,Orianna,Syndra,Taliyah,14.5,Vetheo,Jackies,,,,
Renekton,Aatrox,Smolder,Kalista,14.5,Carzzy,Patrik,,,,
Zeri,Ahri,Braum,Rakan,14.5,Hylissang,IgNar,,,,
,,,,,,,Team Vitality,GIANTX,red_side,blue_side
Orianna,Neeko,Renekton,Poppy,14.5,Irrelevant,Oscarinin,,,,
Jarvan IV,Taliyah,Maokai,Vi,14.5,Isma,Razork,,,,
Ashe,Kalista,Corki,Karma,14.5,Nisqy,Humanoid,,,,
Rumble,Renata Glasc,Varus,Zeri,14.5,3XA,Noah,,,,
Olaf,Hwei,Rell,Alistar,14.5,Doss,Jun,,,,
,,,,,,,SK Gaming,Fnatic,red_side,blue_side
Zeri,Varus,Aatrox,Gnar,14.5,Photon,Cabochard,,,,
Vi,Kalista,Rell,Lee Sin,14.5,Daglas,Bo,,,,
Jinx,Smolder,Orianna,Ahri,14.5,Vetheo,Saken,,,,
Renekton,Rumble,Twisted Fate,Senna,14.5,Carzzy,Upset,,,,
Nilah,Draven,Camille,Nautilus,14.5,Hylissang,Targamas,,,,
,,,,,,,Team Vitality,Karmine Corp,blue_side,red_side
Kalista,Smolder,Gragas,Aatrox,14.5,Myrwn,Wunder,,,,
Varus,Ivern,Jax,Volibear,14.5,Elyoya,Jankos,,,,
Neeko,Vi,Ahri,Orianna,14.5,Fresskowy,Zwyroo,,,,
Gnar,Twisted Fate,Senna,Zeri,14.5,Supa,Flakked,,,,
Jarvan IV,Xin Zhao,Nautilus,Rakan,14.5,Alvaro,Trymbi,,,,
,,,,,,,MAD Lions KOI,Team Heretics,red_side,blue_side
Vi,Ashe,RekSai,KSante,14.5,Brokenblade,Irrelevant,,,,
Jarvan IV,Kalista,Viego,Lee Sin,14.5,Yike,Isma,,,,
Varus,Rell,Annie,Ahri,14.5,Caps,Nisqy,,,,
Renata Glasc,Twisted Fate,Draven,Xayah,14.5,Hans Sama,3XA,,,,
Braum,Nautilus,Neeko,Rakan,14.5,Mikyx,Doss,,,,
,,,,,,,G2 Esports,SK Gaming,blue_side,red_side
Taliyah,Neeko,Renekton,Rumble,14.5,Adam,Oscarinin,,,,
Jax,Smolder,Xin Zhao,Vi,14.5,Sheo,Razork,,,,
Varus,Kalista,Orianna,Karma,14.5,nuc,Humanoid,,,,
Twisted Fate,Olaf,Zeri,Jinx,14.5,Ice,Noah,,,,
Kaisa,Braum,Rell,Nautilus,14.5,Labrov,Jun,,,,
,,,,,,,Team BDS,Fnatic,blue_side,red_side
Senna,Kalista,Gragas,Ornn,14.5,Odoamne,Finn,,,,
Orianna,Smolder,Vi,Jarvan IV,14.5,Peach,Markoon,,,,
Poppy,Varus,Taliyah,Ahri,14.5,Jackies,Larssen,,,,
Renata Glasc,Kaisa,Nilah,Zeri,14.5,Patrik,Comp,,,,
Aatrox,Rumble,Rakan,Lulu,14.5,IgNar,Zoelys,,,,
,,,,,,,GIANTX,Rogue,blue_side,red_side
Vi,Rell,Renekton,Sion,14.5,Irrelevant,Cabochard,,,,
Zeri,Kalista,Maokai,Viego,14.5,Isma,Bo,,,,
Ahri,Smolder,Taliyah,Hwei,14.5,Nisqy,Saken,,,,
Lee Sin,Jayce,Varus,Xayah,14.5,3XA,Upset,,,,
Jarvan IV,Jax,Renata Glasc,Rakan,14.5,Doss,Targamas,,,,
,,,,,,,SK Gaming,Karmine Corp,blue_side,red_side
Vi,Senna,KSante,Twisted Fate,14.5,Finn,Myrwn,,,,
Varus,Smolder,Xin Zhao,Jarvan IV,14.5,Markoon,Elyoya,,,,
Zeri,Kalista,Orianna,Ahri,14.5,Larssen,Fresskowy,,,,
Aphelios,Renata Glasc,Lucian,Jinx,14.5,Comp,Supa,,,,
Xayah,Rakan,Nami,Nautilus,14.5,Zoelys,Alvaro,,,,
,,,,,,,Rogue,MAD Lions KOI,red_side,blue_side
Vi,Kalista,Jax,Udyr,14.5,Brokenblade,Odoamne,,,,
