blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Rumble,Draven,Skarner,Mordekaiser,14.11,YSKM,Breathe,,,,
LeBlanc,Lillia,Brand,Sejuani,14.11,glfs,Tarzan,,,,
Twisted Fate,Ashe,Corki,Tristana,14.11,neny,xiaohu,,,,
Zyra,Ezreal,Jhin,Ziggs,14.11,Ahn,Light,,,,
Karthus,Kaisa,Nautilus,Leona,14.11,Vampire,Crisp,,,,
,,,,,,,Invictus Gaming,Weibo Gaming,red_side,blue_side
Leona,Rumble,Renekton,KSante,14.11,Breathe,YSKM,,,,
Tristana,Skarner,Brand,Graves,14.11,Tarzan,glfs,,,,
Yone,Ashe,Corki,LeBlanc,14.11,xiaohu,neny,,,,
Kalista,Maokai,Ezreal,Ziggs,14.11,Light,Ahn,,,,
Draven,Zyra,Rell,Alistar,14.11,Crisp,Vampire,,,,
,,,,,,,Weibo Gaming,Invictus Gaming,blue_side,red_side
Rumble,Ziggs,Skarner,Twisted Fate,14.11,Qingtian,shanji,,,,
Senna,Kalista,Zyra,Taliyah,14.11,H4cker,AKi,,,,
Kennen,Brand,Corki,Tristana,14.11,Yuekai,RooKie,,,,
Karthus,Braum,Ashe,Ezreal,14.11,Doggo,Photic,,,,
Sejuani,Nautilus,Rell,Leona,14.11,Niket,Zhuo,,,,
,,,,,,,Ultra Prime,Ninjas in Pyjamas,red_side,blue_side
Leona,Rumble,Skarner,KSante,14.11,shanji,Qingtian,,,,
Brand,Senna,Zyra,Karthus,14.11,AKi,H4cker,,,,
Tristana,Ziggs,Corki,Yone,14.11,RooKie,Yuekai,,,,
Nautilus,Kalista,Ashe,Ezreal,14.11,Photic,Doggo,,,,
Twisted Fate,Varus,Braum,Rakan,14.11,Zhuo,Niket,,,,
,,,,,,,Ninjas in Pyjamas,Ultra Prime,blue_side,red_side
Senna,Renekton,KSante,Jax,14.11,sheer,Solokill,,,,
Skarner,Rumble,Nidalee,Zyra,14.11,Kanavi,Jiejie,,,,
LeBlanc,Leona,Tristana,Corki,14.11,Yagao,Cryin,,,,
Twisted Fate,Rell,Ashe,Ezreal,14.11,Ruler,Leave,,,,
Blitzcrank,Kennen,Braum,Rakan,14.11,Missing,Wink,,,,
,,,,,,,JD Gaming,Edward Gaming,blue_side,red_side
Yone,Tristana,KSante,Skarner,14.11,Solokill,sheer,,,,
Corki,Rumble,Wukong,Lillia,14.11,Jiejie,Kanavi,,,,
LeBlanc,Ashe,Azir,Jayce,14.11,Cryin,Yagao,,,,
Zyra,Lee Sin,Kaisa,Ezreal,14.11,Leave,Ruler,,,,
Karthus,Zeri,Alistar,Leona,14.11,Wink,Missing,,,,
,,,,,,,Edward Gaming,JD Gaming,red_side,blue_side
LeBlanc,Ashe,KSante,Renekton,14.11,Xiaolaohu,Hoya,,,,
Brand,Tristana,Taliyah,Zyra,14.11,milkyway,Beichuan,,,,
Rumble,Skarner,Corki,Yone,14.11,Care,Ucal,,,,
Ziggs,Braum,Ezreal,Zeri,14.11,deokdam,1xn,,,,
Kaisa,Pyke,Alistar,Leona,14.11,Life,Feather,,,,
,,,,,,,Funplus Phoenix,TT,blue_side,red_side
Ashe,LeBlanc,Skarner,Renekton,14.11,Hoya,Xiaolaohu,,,,
Senna,Rumble,Brand,Lillia,14.11,Beichuan,milkyway,,,,
Yone,Tristana,Corki,Lucian,14.11,Ucal,Care,,,,
Ziggs,Nautilus,Varus,Kaisa,14.11,1xn,deokdam,,,,
Nidalee,Ezreal,Alistar,Leona,14.11,Feather,Life,,,,
,,,,,,,TT,Funplus Phoenix,red_side,blue_side
Ashe,LeBlanc,Skarner,KSante,14.11,Burdol,Bin,,,,
Jax,Zyra,Brand,Nidalee,14.11,Meteor,XUN,,,,
Twisted Fate,Tristana,Corki,Lucian,14.11,Haichao,Knight,,,,
Rumble,Ezreal,Zeri,Senna,14.11,Shaoye,Elk,,,,
Mordekaiser,Ziggs,Leona,Nautilus,14.11,jinjiao,ON,,,,
,,,,,,,LGD Gaming,Bilibili Gaming,blue_side,red_side
LeBlanc,Ashe,Skarner,KSante,14.11,Bin,Burdol,,,,
Nautilus,Tristana,Zyra,Lillia,14.11,XUN,Meteor,,,,
Rumble,Corki,Yone,Jayce,14.11,Knight,Haichao,,,,
Karthus,Leona,Kalista,Draven,14.11,Elk,Shaoye,,,,
Ziggs,Ezreal,Renata Glasc,Alistar,14.11,ON,jinjiao,,,,
,,,,,,,Bilibili Gaming,LGD Gaming,blue_side,red_side
Twisted Fate,Zyra,Poppy,Renekton,14.11,Burdol,Bin,,,,
Leona,Tristana,Kindred,Brand,14.11,Meteor,XUN,,,,
Ashe,Rumble,LeBlanc,Corki,14.11,Haichao,Knight,,,,
Jax,Kalista,Ezreal,Kaisa,14.11,Shaoye,Elk,,,,
Kennen,Gnar,Nautilus,Rell,14.11,jinjiao,ON,,,,
,,,,,,,LGD Gaming,Bilibili Gaming,blue_side,red_side
Maokai,Lillia,Rumble,KSante,14.11,Juice,Wayward,,,,
Twisted Fate,Ashe,Nidalee,Sejuani,14.11,Wei,Heng,,,,
Zyra,Brand,Corki,Tristana,14.11,Tangyuan,FoFo,,,,
Karthus,Draven,Ezreal,Zeri,14.11,huanfeng,Able,,,,
Kaisa,Ziggs,Nautilus,Leona,14.11,Ming,Mark,,,,
,,,,,,,Royal Never Give Up,Team WE,blue_side,red_side
Tristana,Rumble,Renekton,KSante,14.11,Wayward,Juice,,,,
Ashe,Skarner,Maokai,Graves,14.11,Heng,Wei,,,,
Lucian,Nautilus,Corki,LeBlanc,14.11,FoFo,Tangyuan,,,,
Viego,Kaisa,Xayah,Draven,14.11,Able,huanfeng,,,,
Lee Sin,Samira,Rakan,Leona,14.11,Mark,Ming,,,,
,,,,,,,Team WE,Royal Never Give Up,blue_side,red_side
Tristana,Rumble,Skarner,Renekton,14.11,Wayward,Juice,,,,
Ashe,Nautilus,Poppy,Viego,14.11,Heng,Wei,,,,
Lucian,LeBlanc,Jayce,Ahri,14.11,FoFo,Tangyuan,,,,
Ziggs,Zyra,Kaisa,Varus,14.11,Able,huanfeng,,,,
Kalista,Brand,Rell,Alistar,14.11,Mark,Ming,,,,
,,,,,,,Team WE,Royal Never Give Up,red_side,blue_side
Ashe,LeBlanc,Skarner,Twisted Fate,14.11,Zika,Hery,,,,
Viego,Tristana,Zyra,Sejuani,14.11,WeiWei,xiaofang,,,,
Corki,Rumble,Yone,Akali,14.11,Scout,Linfeng,,,,
Yasuo,Varus,Kalista,Kaisa,14.11,GALA,Starry,,,,
Jayce,Senna,Renata Glasc,Leona,14.11,Hang,Ppgod,,,,
,,,,,,,LNG Esports,OMG,blue_side,red_side
LeBlanc,Rumble,KSante,Renekton,14.11,Hery,Zika,,,,
Jayce,Yone,Viego,KhaZix,14.11,xiaofang,WeiWei,,,,
Corki,Tristana,Hwei,Azir,14.11,Linfeng,Scout,,,,
Taliyah,Skarner,Ashe,Senna,14.11,Starry,GALA,,,,
Nidalee,Rell,Braum,Nautilus,14.11,Ppgod,Hang,,,,
,,,,,,,OMG,LNG Esports,blue_side,red_side
Skarner,LeBlanc,Jax,Kennen,14.11,Zika,Hery,,,,
Yone,Rumble,Sejuani,Nidalee,14.11,WeiWei,xiaofang,,,,
Zyra,Leona,Corki,Tristana,14.11,Scout,Linfeng,,,,
Renekton,Braum,Ziggs,Varus,14.11,GALA,Starry,,,,
Ezreal,Kaisa,Alistar,Nautilus,14.11,Hang,Ppgod,,,,
,,,,,,,LNG Esports,OMG,blue_side,red_side
Nautilus,Tristana,Mordekaiser,Skarner,14.11,369,Xiaoxu,,,,
Ziggs,Senna,Nidalee,Sejuani,14.11,Tian,Xiaohao,,,,
Lillia,Rumble,Corki,Yone,14.11,Creme,Vicla,,,,
Kaisa,Zyra,Ezreal,Ashe,14.11,JackeyLove,Assum,,,,
Kalista,Brand,Leona,Rell,14.11,meiko,Jwei,,,,
,,,,,,,Top Esports,Rare Atom,blue_side,red_side
Skarner,Corki,Rumble,KSante,14.11,Xiaoxu,369,,,,
Senna,Tristana,Xin Zhao,RekSai,14.11,Xiaohao,Tian,,,,
Yone,LeBlanc,Hwei,Azir,14.11,Vicla,Creme,,,,
Lee Sin,Leona,Jhin,Varus,14.11,Assum,JackeyLove,,,,
Zyra,Nautilus,Rakan,Ashe,14.11,Jwei,meiko,,,,
,,,,,,,Rare Atom,Top Esports,red_side,blue_side
Ashe,Rumble,Renekton,Jax,14.11,Breathe,Ale,,,,
Nidalee,Skarner,Brand,Karthus,14.11,Tarzan,Croco,,,,
Ziggs,Leona,Corki,Tristana,14.11,xiaohu,Shanks,,,,
Kalista,Draven,Kaisa,Varus,14.11,Light,Hope,,,,
Ornn,Rell,Alistar,Nautilus,14.11,XBear,Kael,,,,
,,,,,,,Weibo Gaming,Anyone s Legend,red_side,blue_side
Tristana,Corki,KSante,Camille,14.11,Ale,Breathe,,,,
LeBlanc,Leona,Rumble,Skarner,14.11,Croco,Tarzan,,,,
Nidalee,Senna,Yone,Ahri,14.11,Shanks,xiaohu,,,,
Vi,Sejuani,Ziggs,Ashe,14.11,Hope,Light,,,,
Lee Sin,Alistar,Maokai,Rell,14.11,Kael,XBear,,,,
,,,,,,,Anyone s Legend,Weibo Gaming,blue_side,red_side
Karthus,Jax,Skarner,KSante,14.11,YSKM,Qingtian,,,,
Zyra,Nidalee,Lillia,Maokai,14.11,glfs,H4cker,,,,
Leona,Brand,Corki,Tristana,14.11,neny,Yuekai,,,,
Ashe,Draven,Ziggs,Kaisa,14.11,Ahn,Doggo,,,,
Rell,Kalista,Alistar,Nautilus,14.11,Vampire,Niket,,,,
,,,,,,,Invictus Gaming,Ultra Prime,blue_side,red_side
Jax,Karthus,Gragas,Fiora,14.11,Qingtian,YSKM,,,,
Tristana,Zyra,Nidalee,Brand,14.11,H4cker,glfs,,,,
KSante,Skarner,Corki,Yone,14.11,Yuekai,neny,,,,
Camille,Renekton,Ezreal,Draven,14.11,Doggo,Ahn,,,,
Kennen,Twisted Fate,Leona,Nautilus,14.11,Niket,Vampire,,,,
,,,,,,,Ultra Prime,Invictus Gaming,red_side,blue_side
Senna,LeBlanc,KSante,Gnar,14.11,Flandre,Xiaolaohu,,,,
Rumble,Skarner,Nidalee,Lillia,14.11,Kanavi,milkyway,,,,
Ashe,Renekton,Tristana,Corki,14.11,Yagao,Care,,,,
Jax,Brand,Zeri,Ezreal,14.11,Ruler,deokdam,,,,
Camille,Twisted Fate,Alistar,Leona,14.11,Missing,Life,,,,
,,,,,,,JD Gaming,Funplus Phoenix,blue_side,red_side
LeBlanc,Tristana,Renekton,Skarner,14.11,Xiaolaohu,Flandre,,,,
Corki,Senna,Diana,Zyra,14.11,milkyway,Kanavi,,,,
Leona,Rumble,Jayce,Azir,14.11,Care,Yagao,,,,
Taliyah,Yone,Ashe,Jhin,14.11,deokdam,Ruler,,,,
Vi,Kindred,Braum,Bard,14.11,Life,Missing,,,,
,,,,,,,Funplus Phoenix,JD Gaming,red_side,blue_side
Senna,Leona,KSante,Skarner,14.11,Hoya,Solokill,,,,
Lee Sin,Rumble,Karthus,Zyra,14.11,Beichuan,Jiejie,,,,
Nidalee,Renekton,Tristana,Corki,14.11,Ucal,Cryin,,,,
Varus,Ezreal,Kaisa,Zeri,14.11,1xn,Leave,,,,
Ashe,Ziggs,Rell,Alistar,14.11,Feather,Wink,,,,
,,,,,,,TT,Edward Gaming,blue_side,red_side
Corki,Tristana,Twisted Fate,Gragas,14.11,Solokill,Hoya,,,,
Yone,LeBlanc,Viego,Wukong,14.11,Jiejie,Beichuan,,,,
Skarner,Rumble,Ahri,Azir,14.11,Cryin,Ucal,,,,
Alistar,Kaisa,Smolder,Ezreal,14.11,Leave,1xn,,,,
Jax,Varus,Leona,Braum,14.11,Wink,Feather,,,,
,,,,,,,Edward Gaming,TT,red_side,blue_side
Nautilus,LeBlanc,Skarner,Rumble,14.11,369,Zika,,,,
Renekton,Senna,Brand,Sejuani,14.11,Tian,WeiWei,,,,
Corki,Tristana,Yone,Jayce,14.11,Creme,Scout,,,,
Varus,Rell,Ashe,Ziggs,14.11,JackeyLove,GALA,,,,
Kaisa,Ezreal,Braum,Leona,14.11,meiko,Hang,,,,
,,,,,,,Top Esports,LNG Esports,red_side,blue_side
Rumble,LeBlanc,Jax,KSante,14.11,Zika,369,,,,
Ziggs,Senna,Nidalee,Zyra,14.11,WeiWei,Tian,,,,
Leona,Nautilus,Corki,Tristana,14.11,Scout,Creme,,,,
Draven,Ashe,Zeri,Ezreal,14.11,GALA,JackeyLove,,,,
Kalista,Kaisa,Rell,Alistar,14.11,Hang,meiko,,,,
,,,,,,,LNG Esports,Top Esports,red_side,blue_side
Tristana,Rumble,Renekton,Skarner,14.11,369,Zika,,,,
Yone,Senna,Maokai,Lee Sin,14.11,Tian,WeiWei,,,,
Nautilus,Nidalee,Corki,LeBlanc,14.11,Creme,Scout,,,,
Braum,Ziggs,Kaisa,Xayah,14.11,JackeyLove,GALA,,,,
Alistar,Taliyah,Leona,Rakan,14.11,meiko,Hang,,,,
,,,,,,,Top Esports,LNG Esports,blue_side,red_side
Leona,Tristana,Skarner,KSante,14.11,Ale,ZUIAN,,,,
LeBlanc,Rumble,Sejuani,Brand,14.11,Croco,glfs,,,,
Ashe,Kaisa,Corki,Yone,14.11,Shanks,neny,,,,
Draven,Nautilus,Ziggs,Jhin,14.11,Hope,Ahn,,,,
Kalista,Varus,Rell,Maokai,14.11,Kael,Vampire,,,,
,,,,,,,Anyone s Legend,Invictus Gaming,blue_side,red_side
Tristana,Rumble,Skarner,KSante,14.11,ZUIAN,Ale,,,,
Leona,LeBlanc,Viego,Nidalee,14.11,glfs,Croco,,,,
Yone,Corki,Aurelion Sol,Twisted Fate,14.11,neny,Shanks,,,,
Varus,Graves,Ziggs,Ashe,14.11,Ahn,Hope,,,,
Jayce,Rell,Nautilus,Braum,14.11,Vampire,Kael,,,,
,,,,,,,Invictus Gaming,Anyone s Legend,red_side,blue_side
Twisted Fate,Nidalee,Rumble,KSante,14.11,Bin,Juice,,,,
Leona,Ashe,Zyra,Brand,14.11,XUN,Wei,,,,
Viego,Jax,Corki,Tristana,14.11,Knight,Tangyuan,,,,
Ziggs,Kindred,Ezreal,Kaisa,14.11,Elk,huanfeng,,,,
Draven,Wukong,Rell,Nautilus,14.11,ON,Ming,,,,
,,,,,,,Bilibili Gaming,Royal Never Give Up,blue_side,red_side
Leona,Nautilus,Skarner,Renekton,14.11,Bin,Juice,,,,
Rumble,Tristana,Nidalee,Karthus,14.11,XUN,Wei,,,,
Ashe,LeBlanc,Yone,Corki,14.11,Knight,Tangyuan,,,,
Ziggs,Lucian,Kaisa,Kalista,14.11,Elk,huanfeng,,,,
Draven,Varus,Alistar,Rell,14.11,ON,Ming,,,,
,,,,,,,Bilibili Gaming,Royal Never Give Up,blue_side,red_side
Skarner,Tristana,KSante,Rumble,14.11,Wayward,Burdol,,,,
Karthus,Ashe,Nidalee,Kindred,14.11,Heng,Meteor,,,,
Yone,Maokai,Corki,LeBlanc,14.11,FoFo,Haichao,,,,
Graves,Nautilus,Ezreal,Kaisa,14.11,LP,Shaoye,,,,
Viego,Alistar,Rakan,Leona,14.11,Mark,jinjiao,,,,
,,,,,,,Team WE,LGD Gaming,red_side,blue_side
Ashe,Karthus,Skarner,Mordekaiser,14.11,Burdol,Wayward,,,,
Twisted Fate,Corki,Brand,Maokai,14.11,Meteor,Heng,,,,
LeBlanc,Tristana,Yone,Jayce,14.11,Haichao,FoFo,,,,
Leona,Zyra,Varus,Kaisa,14.11,Shaoye,LP,,,,
Alistar,Lillia,Nautilus,Braum,14.11,jinjiao,Mark,,,,
,,,,,,,LGD Gaming,Team WE,blue_side,red_side
Brand,Senna,Mordekaiser,Skarner,14.11,shanji,Breathe,,,,
Ashe,Rumble,Wukong,Nidalee,14.11,AKi,Tarzan,,,,
Corki,Kennen,Tristana,Jayce,14.11,RooKie,xiaohu,,,,
Karthus,KSante,Ziggs,Kaisa,14.11,Photic,Light,,,,
Zyra,Twisted Fate,Leona,Rakan,14.11,Zhuo,Crisp,,,,
,,,,,,,Ninjas in Pyjamas,Weibo Gaming,blue_side,red_side
Senna,Tristana,Rumble,KSante,14.11,Breathe,shanji,,,,
Skarner,LeBlanc,Zyra,Sejuani,14.11,Tarzan,AKi,,,,
Kennen,Ziggs,Yone,Corki,14.11,xiaohu,RooKie,,,,
Braum,Leona,Ezreal,Kalista,14.11,Light,Photic,,,,
Rakan,Brand,Rell,Ashe,14.11,Crisp,Zhuo,,,,
,,,,,,,Weibo Gaming,Ninjas in Pyjamas,red_side,blue_side
Rumble,Skarner,KSante,Jax,14.11,Qingtian,Ale,,,,
Nidalee,Ashe,Karthus,Brand,14.11,H4cker,Croco,,,,
Tristana,Rell,Yone,Corki,14.11,Yuekai,Shanks,,,,
Varus,Ziggs,Kalista,Ezreal,14.11,Doggo,Hope,,,,
Nautilus,Gragas,Leona,Braum,14.11,Niket,Kael,,,,
