blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Viego,Aurora,Gnar,Renekton,14.18,Azhi,Sniper,,,,
Ashe,Vi,Skarner,Sejuani,14.18,JunJia,River,,,,
Jarvan IV,Yone,Orianna,Hwei,14.18,Maple,Quid,,,,
Lucian,Rell,Jhin,Varus,14.18,Betty,Tomo,,,,
Braum,Nautilus,Alistar,Renata Glasc,14.18,Woody,Eyla,,,,
,,,,,,,PSG Talon,100 Thieves,blue_side,red_side
Viego,Aurora,Rumble,Aatrox,14.18,Azhi,Sniper,,,,
Ashe,Skarner,Sejuani,Lillia,14.18,JunJia,River,,,,
Jarvan IV,Gnar,Yone,Renekton,14.18,Maple,Quid,,,,
Brand,Jhin,Ezreal,Ziggs,14.18,Betty,Tomo,,,,
Shyvana,Kaisa,Alistar,Rell,14.18,Woody,Eyla,,,,
,,,,,,,PSG Talon,100 Thieves,blue_side,red_side
LeBlanc,Yone,Jax,KSante,14.18,Wizer,Summit,,,,
Wukong,Skarner,Maokai,Poppy,14.18,Cariok,Oddielan,,,,
Renekton,Orianna,Ahri,Syndra,14.18,dyNquedo,Keine,,,,
Nautilus,Sejuani,Lucian,Xayah,14.18,Titan,Ceo,,,,
Kalista,Akali,Nami,Rakan,14.18,Kuri,Lyonz,,,,
,,,,,,,paiN Gaming,Movistar R7,red_side,blue_side
LeBlanc,Yone,Jax,KSante,14.18,Wizer,Summit,,,,
Syndra,Skarner,Sejuani,Poppy,14.18,Cariok,Oddielan,,,,
Renekton,Orianna,Ahri,Hwei,14.18,dyNquedo,Keine,,,,
Nautilus,Akali,Lucian,Xayah,14.18,Titan,Ceo,,,,
Kalista,Vi,Nami,Rakan,14.18,Kuri,Lyonz,,,,
,,,,,,,paiN Gaming,Movistar R7,blue_side,red_side
Yone,Syndra,Renekton,KSante,14.18,Summit,Wizer,,,,
Skarner,Orianna,Sejuani,Wukong,14.18,Oddielan,Cariok,,,,
Jax,Lucian,LeBlanc,Ahri,14.18,Keine,dyNquedo,,,,
Renata Glasc,Ashe,Varus,Kalista,14.18,Ceo,Titan,,,,
Neeko,Draven,Nautilus,Rell,14.18,Lyonz,Kuri,,,,
,,,,,,,Movistar R7,paiN Gaming,red_side,blue_side
Ziggs,Kennen,Aurora,Renekton,14.18,Evi,Sniper,,,,
KSante,Skarner,Wukong,Brand,14.18,Forest,River,,,,
Jax,Vi,Akali,Yone,14.18,Dasher,Quid,,,,
Sejuani,LeBlanc,Ezreal,Kaisa,14.18,Marble,Tomo,,,,
Nautilus,Braum,Poppy,Leona,14.18,Vsta,Eyla,,,,
,,,,,,,SoftBank Hawks Gaming,100 Thieves,red_side,blue_side
Ziggs,Kennen,RekSai,Renekton,14.18,Evi,Sniper,,,,
Yone,Vi,Sejuani,Nocturne,14.18,Forest,River,,,,
Aurora,Skarner,Syndra,Orianna,14.18,Dasher,Quid,,,,
Jarvan IV,Jax,Jhin,Ashe,14.18,Marble,Tomo,,,,
Wukong,Urgot,Alistar,Braum,14.18,Vsta,Eyla,,,,
,,,,,,,SoftBank Hawks Gaming,100 Thieves,red_side,blue_side
Syndra,Ashe,Rumble,Udyr,14.18,Wizer,Nanaue,,,,
Orianna,Zyra,Skarner,Brand,14.18,Cariok,Gury,,,,
Jax,Yone,Tristana,Smolder,14.18,dyNquedo,Kati,,,,
Renekton,Aurora,Kalista,Miss Fortune,14.18,Titan,Shogun,,,,
KSante,Gnar,Neeko,Leona,14.18,Kuri,Bie,,,,
,,,,,,,paiN Gaming,Vikings Esports,blue_side,red_side
Rumble,Syndra,KSante,Jax,14.18,Nanaue,Wizer,,,,
Yone,Orianna,Shyvana,Sejuani,14.18,Gury,Cariok,,,,
Aurora,Ziggs,Tristana,Akali,14.18,Kati,dyNquedo,,,,
Lucian,Lillia,Ashe,Jhin,14.18,Shogun,Titan,,,,
Ezreal,Brand,Poppy,Bard,14.18,Bie,Kuri,,,,
,,,,,,,Vikings Esports,paiN Gaming,red_side,blue_side
Skarner,Aurora,Rumble,Gnar,14.18,Kiaya,Summit,,,,
Orianna,Ziggs,Shyvana,Wukong,14.18,Levi,Oddielan,,,,
